Unnamed: 0_level_0,nAD,AD,MCI,CU,p‐Value (fdr),p‐Value (fdr),p‐Value (fdr),p‐Value (fdr),p‐Value (fdr),p‐Value (fdr),p‐Value (fdr)
Unnamed: 0_level_1,n = 24,n = 47,n = 17,n = 23,nADvsADvs MCIvsCU,nADvs AD,nADvs MCI,ADvs MCI,nADvs CU,Advs CU,MCIvs CU
Sex (M/F),9/15,22/25,8/9,14/9,.36,,,,,,
Age (y),"75 (70.75, 77.25)","71 (67.5,76)","74 (69,76)","70 (60, 75.5)",.12,,,,,,
Education (y),"13 (7.75, 14.25)","13 (12,18)","8 (8,13)","13 (8, 18)",.042,,,0.031,,,
Disease duration (y),"3.02 (2.32, 5.6)","2.51 (1.69, 4.69)","2.73 (1.70, 3.48)","2.80 (2.30, 4.22)",.49,,,,,,
MMSE (N),"24 (18.75, 26)","23 (20.5,26)","27 (25, 28)","29 (28, 30)",<.001,,0.012,0.001,<.001,<.001,0.001
Aβ42 (pg/mL),"829 (700, 891)","496 (435, 591)","1218 (1158.5, 1330)","854 (762, 945)",<.001,<.001,0.038,0.001,,.002,
T‐tau (pg/mL),"518 (192, 851)","669 (407, 922)","252 (205, 261)","501 (276, 750)",0.056,,,,,,
P‐tau (pg/mL),"84 (33, 119)","122 (68, 154)","34 (30, 35)","88 (34, 140)",.049,,,,,,
T‐tau/Aβ42,"0.78 (0.24, 1.11)","1.29 (0.78, 1.93)","0.19 (0.16, 0.21)","0.53 (0.38, 0.75)",<.001,.017,0.038,0.002,,.031,
P‐tau/Αβ42,"0.12 (0.03, 0.17)","0.22 (0.15, 0.32)","0.02 (0.02, 0.03)","0.09 (0.05, 0.14)",<.001,.007,0.046,0.002,,.046,
WMLVF,"0.004 (0.002, 0.008)","0.003 (0.002, 0.007)","0.003 (0.001, 0.008)","0.002 (0.0006, 0.004)",0.1,,,,,,
GMVF,"0.371 (0.344, 0.425)","0.387 (0.354, 0.425)","0.418 (0.379, 0.454)","0.421 (0.398, 0.457)",.013,,0.03,0.03,,,
