Characteristics,DLB,AD,Controls
Number of subjects/patients,14,14,15
"Age???,???",75.8 ± 3.8,75.4 ± 6.2,75.0 ± 4.8
"Male gender (in percentage)???,???",50.0,50.0,46.7
Disease duration (years)???,3.1 ± 0.6,3.0 ± 0.7,–
"Education level (years)???,???",7 ± 4,7 ± 4,7 ± 3
"CDR???,???",2.04 ± 0.50,1.93 ± 0.47,–
"MMSE???,???",18.0 ± 4.9,18.1 ± 4.6,27.7 ± 0.6
"DRS???,???",93.3 ± 17.8,84.6 ± 13.5,136.8 ± 0.86
"FAB???,???",6.1 ± 3.0,6.7 ± 3.1,17.1 ± 1.0
DHWM???,1.36 ± 0.74,1.14 ± 0.66,0.80 ± 0.41
CAF,4.5 ± 2.5,0.0 ± 0.0,0.0 ± 0.0
UPDRS III,26.1 ± 9.2,0.0 ± 0.0,0.0 ± 0.0
NPI item-2 hallucinations,4.1 ± 1.5,0.0 ± 0.0,0.0 ± 0.0
