Metric,Tract,DLB,AD,Controls,DLB vs. controls,AD vs. controls,DLB vs. AD
FA,R-ILF,0.40 ± 0.04,0.40 ± 0.03,0.44 ± 0.02,p = 0.002,p = 0.000,p = 1.000
MD???,L-CAB,0.88 ± 0.06,0.94 ± 0.08,0.84 ± 0.04,p = 0.055,p = 0.000,p = 0.020
MD???,R-CAB,0.86 ± 0.05,0.92 ± 0.10,0.81 ± 0.06,p = 0.038,p = 0.001,p = 0.041
MD???,L-CCG,0.82 ± 0.04,0.80 ± 0.05,0.77 ± 0.03,p = 0.001,P = 0.042,p = 0.383
MD???,L-UNC,0.89 ± 0.06,0.86 ± 0.05,0.82 ± 0.03,p = 0.001,p = 0.010,p = 0.198
MD???,R-UNC,0.89 ± 0.06,0.87 ± 0.04,0.84 ± 0.02,p = 0.001,p = 0.011,p = 0.244
RD???,L-CAB,0.73 ± 0.07,0.79 ± 0.08,0.70 ± 0.04,p = 0.216,p = 0.000,p = 0.022
RD???,R-CAB,0.71 ± 0.06,0.77 ± 0.10,0.67 ± 0.07,p = 0.097,p = 0.002,p = 0.038
RD???,L-CCG,0.59 ± 0.05,0.58 ± 0.06,0.53 ± 0.03,p = 0.001,p = 0.017,p = 0.583
RD???,R-ILF,0.68 ± 0.08,0.68 ± 0.06,0.63 ± 0.03,p = 0.021,p = 0.003,p = 0.982
RD???,L-UNC,0.72 ± 0.07,0.69 ± 0.05,0.64 ± 0.02,p = 0.001,p = 0.002,p = 0.310
RD???,R-UNC,0.71 ± 0.06,0.70 ± 0.04,0.66 ± 0.01,p = 0.001,p = 0.001,p = 0.471
DA???,R-ATR,1.20 ± 0.05,1.18 ± 0.05,1.14 ± 0.04,p = 0.001,p = 0.009,p = 0.256
DA???,L-CAB,1.19 ± 0.06,1.24 ± 0.08,1.12 ± 0.06,p = 0.006,p < 0.001,p = 0.048
DA???,R-CAB,1.16 ± 0.04,1.22 ± 0.12,1.11 ± 0.07,p = 0.027,p = 0.005,p = 0.091
DA???,L-UNC,1.24 ± 0.05,1.21 ± 0.05,1.18 ± 0.04,p = 0.002,p = 0.191,p = 0.075
