Centre,01,02,03,04,05,p value
PD patients (M/F),33 (25/8),27 (18/9),22 (19/3),25 (18/7),27 (18/9),0.518‡
age/y???,68 ± 6(54–78),67 ± 8(49–79),66 ± 9(48–77),68 ± 8(46–79),68 ± 9(45–79),0.048???
Controls (M/F),14 (7/7),14 (6/8),12 (7/5),13 (6/7),19 (13/6),0.593‡
age/y???,63 ± 8(49–73),66 ± 5(58–78),62 ± 8(47–71),66 ± 6(58–76),69 ± 5(61–79),0.947???
Vendor,SIEMENS,SIEMENS,SIEMENS,SIEMENS,SIEMENS,
Model,Verio,Trio,TrioTim,TrioTim,Allegra,
Field/T,3.0,3.0,3.0,3.0,3.0,
DTI,DTI,DTI,DTI,DTI,DTI,DTI
TR/s,12.7,12.7,12.7,12.7,12.7,
TE/ms,81,95,85,86,95,
Flip angle/deg,90,90,90,90,90,
Voxel (x/y/z)/mm3,2.0/2.0/2.0,2.0/2.0/2.0,2.0/2.0/2.0,2.0/2.0/2.0,2.0/2.0/2.0,
Gradient directions,62,35,62,62,31,
b/s/mm2,1000,1000,1000,1000,1000,
FLAIR,FLAIR,FLAIR,FLAIR,FLAIR,FLAIR,FLAIR
TR/s,5.0,5.0,5.0,5.0,5.0,
TE/ms,395,335,394,394,355,
Flip angle/deg,120,180,120,120,180,
Voxel (x/y/z)/mm3,1.0/1.0/1.0,1.0/1.0/1.0,1.0/1.0/1.0,1.0/1.0/1.0,1.0/1.0/1.0,
