Unnamed: 0,Healthy controlsn = 72,Total PDn = 134 (100%),p???,PD-Nn = 56(42%),PD-MCIn = 67(50%),PD-Dn = 11(8%),p value???
Sex M/F,39/33,98/36,0.006,41/15,48/19,9/2,0.046
Age/y,65 ± 7(47–79),67 ± 8(45–79),0.054,66 ± 8(45–78),68 ± 8(48–79),71 ± 4(63–76),0.013
Education/y,16 ± 4(10–30),13 ± 3(7–20),<0.001,13 ± 3(8–19),13 ± 3(7–20),13 ± 4(7–11),<0.001
PD duration / y,,9 ± 4(0–18),,9 ± 5(0–24),8 ± 4(3–16),12 ± 4(5–18),0.107
LEDD / (mg/d),,663 ± 426(0–1686),,624 ± 420(0–1686),640 ± 410(0–1541),1081 ± 400(767–1582),0.007
Hoehn and Yahr stage,,2.7 ± 0.8(2–4),,2.3 ± 0.7(1–4),2.5 ± 0.7(1–5),3.4 ± 0.7(2–4),<0.001
UPDRS III,,22 ± 11(5–64),,18 ± 8(5–45),22 ± 10(6–55),40 ± 13(19–64),<0.001
Neuropsychological data,Neuropsychological data,Neuropsychological data,,,,,
MMSE,30,28 ± 221–30),<0.001,29 ± 1(26–30),28 ± 2(22–30),24 ± 2(21–27),<0.001
PANDA,,23 ± 5(10–30),,25 ± 4(13–30),22 ± 5(10–29),13 ± 3(10–21),<0.001
CERAD total score???,,93 ± 11(42–113),,99 ± 6(86–113),91 ± 870–107,69 ± 12(42–84),<0.001
-Verbal fluency)???,,−0.2 ± 1.1(-3.4–2.5),,0.3 ± 0.9(−1.4 to 2.5),−0.5 ± 1.1(−2.5 to 2.3),−1.7 ± 0.9−3.4 to −0.2,<0.001
- Boston naming test???,,−0.2 ± 1.0(−3.2 to 1.9),,0.5 ± 0.7(−0.9 to 1.9),0.2 ± 1.0(−2.5 to 1.5),−1.4 ± 0.9(−3.2 to 0.0),<0.001
-Word list learning???,,−0.0 ± 1.2(−5.0 to 3.1),,0.5 ± 1.0(−1.8 to 3.1),−0.5 ± 1.4(−4.6 to 2.8),−1.9 ± 1.7(5.0–2.1),<0.001
-Word list recall???,,−0.0 ± 1.2(−3.9 to 2.8),,0.5 ± 0.9(−1.1 to 2.1),−0.2 ± 1.1(2.2–2.8),−1.6 ± 1.6(−3.9 to 1.4),<0.001
-Word list discrimination???,,−0.1 ± 1.0−2.6 to 1.9,,0.4 ± 0.8−1.8 to 1.9,−0.0 ± 1.1−2.5 to 1.2,−1.1 ± 0.9−2.6 to 0.8,0.005
-Constructional praxis???,,−0.1 ± 1.3(−8.3 to 1.5),,0.5 ± 0.7(−1.5 to 1.5),0.1 ± 1.0(−2.6 to 1.4),−2.7 ± 2.3(−8.3 to 0.8),<0.001
