Variable,DM and AD (n: 31),AD (n: 33),p
Age,74.35 (7.55),75.64 (6.47),.468
"Female, n (%)",19 (61.3),18 (54.5),.585
MMSE,17.23 (5.27),18.13 (5.55),.562
Fasting glucose (mg/dL),130 (102–194),98 (85.25–106),<.001
Hemoglobin A1c (%),6.71 (6.10–7.92),5.55 (5.33–5.69),<.001
LDL (mg/dL),120.20 (94.92–171.97),119 (104.42–153.67),.918
HDL (mg/dL),50.15 (11.89),56.71 (17.54),.236
Triglycerides (mg/dL),145 (109–194),85 (68–134),.012
TSH (mIU/L),1.06 (0.62–1.37),1.07 (0.76–1.80),.580
Ferritin (µg/L),49.84 (40.41–76.54),84.81 (38.89–152.95),.206
Iron (µg/dL),50 (38–74),69 (53–104),.096
B12 (ng/L),342.5 (231.75–472.50),321 (219–447),.917
Folic acid (µg/L),5.95 (3.97–7.52),5.55 (4.22–7.45),.924
25(OH)D (ng/mL),19.35 (10.92),21.37 (9.80),.537
AST (U/L),17.14 (4.56),19.27 (6.21),.201
ALT (U/L),12 (10–22.5),13 (11–19.50),.755
Na (mEq/L),139 (135.5–140),141 (139–142),.001
K (mmol/L),4.48 (0.52),4.44 (0.51),.654
Ca (mg/dL),9.38 (0.41),9.34 (0.55),.795
eGFR (mL/min/1.73 m2),56.80 (19.73),73.50 (14.79),<.001
Urea (mg/dL),43 (33.25–64.25),34 (26.5–41.5),.028
BUN,19.86 (14.83–31.07),16.35 (12.26–21.26),.077
Creatine (mg/dL),1.13 (0.83–1.29),0.88 (0.73–0.96),.007
Neutrophil (10×3/µL),4.75 (1.34),4.72 (2.09),.948
Lymphocyte (10×3/µL),2.08 (0.54),1.93 (0.59),.294
Eosinophils (absolute number),0.21 (0.15–0.39),0.10 (0.07–0.15),.001
Monocyte (absolute number),0.55 (0.49–0.69),0.51 (0.45–0.64),.167
Basophil (absolute number),0.08 (0.05–0.10),0.06 (0.04–0.08),.081
Leukocyte,7.74 (1.48),7.47 (2.32),.596
Erythrocyte,4.34 (0.59),4.57 (0.57),.119
Hematocrit,38.99 (34.20–40.89),42.29 (38.8–43.93),.001
MCH,28.7 (26.73–30.30),29.87 (28.22–31.38),.026
NLR,2.21 (1.94–2.97),2.08 (1.57–3.26),.665
PLR,112.26 (89.74–150.76),113.71 (87.57–135.35),.851
Hemoglobin (g/dL),12.15 (1.72),13.53 (1.50),.002
Platelet (10×3/µL),221 (182.8–288),198.5 (179.25–264),.166
MCV,86.20 (7.24),90.24 (7.00),.031
