Model,Model,Unstandardized coefficients,Standardized coefficients,t,Sig.
Model,Model.1,B,Beta,Unnamed: 4_level_1,Unnamed: 5_level_1
1,(Constant),"592,528.151",–,3.252,.002
1,Age,−3673.498,−.251,−1.860,.069
1,HbA1c,"−10,115.553",−.196,−1.492,.142
1,ALT,−3486.418,−.269,−1.966,.055
1,Creatinine,"−99,415.628",−.341,−2.460,.018
2,(Constant),"496,825.561",–,2.877,.006
2,Age,−3261.192,−.223,−1.647,.106
2,ALT,−3577.193,−.276,−1.993,.052
2,Creatinine,"−99,583.093",−.342,−2.434,.019
3,(Constant),"228,353.872",–,3.933,<.001
3,ALT,−3161.588,−.244,−1.750,.086
3,Creatinine,"−84,695.928",−.291,−2.087,.042
