DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK)
(A),MK,MK,MK,MK,MK,MK
Unnamed: 0_level_2,CN < MCI,CN > MCI,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,t-stats,t-stats,Effect-size,t-stats,t-stats,Effect-size
Unnamed: 0_level_4,Vol (%),<t>,gmax,Vol (%),<t>,gmax
JHU Atlas,,,,,,
Anterior thalamic radiation R,1.38,2.508,0.708,–,–,–
Cortical spinal tract L,–,–,–,20.04,−2.306,−0.612
Cortical spinal tract R,0.54,2.588,0.774,–,–,–
Forceps major,0.90,2.660,0.641,4.28,−1.949,−0.617
Forceps minor,0.73,2.710,0.784,–,–,–
Inferior fronto-occipital fasciculus L,0.48,2.668,0.634,20.67,−2.224,−0.698
Inferior fronto-occipital fasciculus R,–,–,–,19.25,−2.203,−0.640
Inferior longitudinal fasciculus L,0.79,2.639,0.827,20.19,−2.347,−0.737
Superior longitudinal fasciculus L,–,–,–,20.04,−2.509,−0.737
Superior longitudinal fasciculus R,–,–,–,20.68,−2.523,−0.746
Uncinate fasciculus R,0.44,2.724,0.708,–,–,–
Superior longitudinal fasciculus temporal L,–,–,–,33.98,−2.533,−0.737
Superior longitudinal fasciculus temporal R,–,–,–,35.90,−2.581,−0.746
ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas
Posterior limb of internal capsule R,3.17,2.429,0.753,–,–,–
Retrolenticular part of internal capsule R,–,–,–,57.97,−2.293,−0.640
Superior corona radiata L,–,–,–,62.85,−2.257,−0.632
Posterior thalamic radiation R,–,–,–,50.28,−2.226,−0.683
Posterior thalamic radiation L,–,–,–,45.45,−2.135,−0.698
Sagittal stratum R,–,–,–,36.85,−2.146,−0.653
Sagittal stratum L,–,–,–,32.99,−2.390,−0.623
Superior longitudinal fasciculus R,–,–,–,57.21,−2.569,−0.724
Superior longitudinal fasciculus L,–,–,–,53.93,−2.558,−0.618
