MSDKI,MSDKI,MSDKI,MSDKI
(A),MSD,MSD,MSD
Unnamed: 0_level_2,CN < MCI,CN < MCI,CN < MCI
Unnamed: 0_level_3,t-stats,t-stats,Effect-size
Unnamed: 0_level_4,Vol (%),<t>,gmax
JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas
Anterior thalamic radiation L,28.87,2.176,0.777
Anterior thalamic radiation R,31.07,2.219,0.802
Cortical spinal tract R,32.29,2.359,0.698
Cingulum cingulate gyrus L,30.45,2.251,0.736
Cingulum cingulate gyrus R,20.61,2.222,0.671
Cingulum hippocampus R,24.34,2.794,0.814
Forceps major,28.48,2.389,0.701
Forceps minor,33.75,2.608,0.841
Inferior fronto-occipital fasciculus L,34.25,2.190,0.777
Inferior fronto-occipital fasciculus R,42.38,2.478,0.841
Inferior longitudinal fasciculus L,20.60,2.125,0.787
Inferior longitudinal fasciculus R,44.61,2.601,0.864
Superior longitudinal fasciculus L,27.09,2.321,0.820
Superior longitudinal fasciculus R,23.28,2.189,0.703
Uncinate fasciculus L,39.63,2.227,0.750
Uncinate fasciculus R,46.44,2.707,0.804
Superior longitudinal fasciculus temporal L,40.16,2.287,0.714
Superior longitudinal fasciculus temporal R,32.91,2.137,0.703
ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas
Genu of corpus callosum,56.28,2.779,0.781
Splenium of corpus callosum,70.59,2.640,0.620
Superior cerebellar peduncle R,25.81,2.330,0.671
Superior cerebellar peduncle L,26.81,2.325,0.668
Cerebral peduncle R,46.66,2.246,0.668
Anterior corona radiata R,51.86,2.412,0.841
Anterior corona radiata L,48.19,2.014,0.645
Superior corona radiata R,54.67,2.316,0.639
Superior corona radiata L,48.52,2.174,0.641
Sagittal stratum R,66.65,2.634,0.660
External capsule R,26.31,2.329,0.622
External capsule L,34.67,2.201,0.624
Cingulum (cingulate gyrus) L,36.46,2.181,0.736
Cingulum (hippocampus) R,47.49,2.900,0.814
Superior longitudinal fasciculus L,69.83,2.341,0.663
Uncinate fasciculus R,76.84,3.186,0.666
