DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA),DKI (MKT & KFA)
Unnamed: 0_level_1,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation
Unnamed: 0_level_2,t-stats,t-stats.1,Effect-size,Effect-size.1,Effect-size.2,t-stats,t-stats.1,Effect-size,Effect-size.1,Effect-size.2
,Vol (%),<t>,<ρ>,ρmin,ρmax,Vol (%),<t>,<ρ>,ρmin,ρmax
MKT,MKT,MKT,MKT,MKT,MKT,MKT,MKT,MKT,MKT,MKT
JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas
Anterior thalamic radiation L,1.21,−2.566,−0.537,−0.476,−0.624,–,–,–,–,–
Anterior thalamic radiation R,2.50,−2.549,−0.533,−0.455,−0.681,–,–,–,–,–
Cortical spinal tract L,–,–,–,–,–,0.58,2.437,0.519,0.485,0.566
Forceps major,–,–,–,–,–,0.66,2.412,0.514,0.470,0.609
Forceps minor,0.43,−2.367,−0.508,−0.472,−0.569,–,–,–,–,–
Inferior fronto-occipital fasciculus L,0.90,−2.406,−0.513,−0.460,−0.601,0.59,2.414,0.514,0.470,0.609
Inferior longitudinal fasciculus L,–,–,–,–,–,0.64,2.415,0.515,0.472,0.609
Uncinate fasciculus L,2.86,−2.425,−0.516,−0.459,−0.601,–,–,–,–,–
ICBM81 Atlas,,,,,,,,,,
Genu of corpus callosum,3.15,−2.424,−0.517,−0.472,−0.593,–,–,–,–,–
Anterior limb of internal capsule R,1.94,−2.295,−0.496,−0.463,−0.555,–,–,–,–,–
Posterior limb of internal capsule R,2.98,−2.516,−0.528,−0.458,−0.622,–,–,–,–,–
Anterior corona radiata L,0.72,−2.364,−0.507,−0.466,−0.565,–,–,–,–,–
External capsule R,1.94,−2.675,−0.553,−0.494,−0.627,–,–,–,–,–
External capsule L,4.55,−2.459,−0.521,−0.461,−0.601,–,–,–,–,–
KFA,KFA,KFA,KFA,KFA,KFA,KFA,KFA,KFA,KFA,KFA
JHU Atlas,,,,,,,,,,
Anterior thalamic radiation R,0.61,−2.178,−0.477,−0.438,−0.594,–,–,–,–,–
Cortical spinal tract L,–,–,–,–,–,1.51,2.610,0.542,0.470,0.643
Cortical spinal tract R,–,–,–,–,–,0.61,2.828,0.571,0.506,0.676
Forceps major,0.38,−2.595,−0.542,−0.458,−0.604,0.92,2.651,0.544,0.454,0.711
Forceps minor,0.95,−2.316,−0.498,−0.438,−0.635,–,–,–,–,–
Inferior fronto-occipital fasciculus L,1.47,−2.502,−0.527,−0.458,−0.658,0.77,2.814,0.567,0.472,0.711
Inferior fronto-occipital fasciculus R,0.24,−2.120,−0.467,−0.441,−0.505,1.39,2.384,0.509,0.450,0.628
Inferior longitudinal fasciculus L,1.58,−2.513,−0.529,−0.458,−0.658,0.82,2.804,0.565,0.472,0.711
Inferior longitudinal fasciculus R,–,–,–,–,–,1.28,2.399,0.511,0.454,0.628
Uncinate fasciculus R,0.49,−2.141,−0.471,−0.441,−0.510,–,–,–,–,–
Superior longitudinal fasciculus temporal R,–,–,–,–,–,0.32,2.185,0.479,0.456,0.519
ICBM81 Atlas,,,,,,,,,,
Splenium of corpus callosum,0.81,−2.638,−0.548,−0.505,−0.604,–,–,–,–,–
Corticospinal tract L,–,–,–,–,–,0.29,2.374,0.509,0.490,0.524
Cerebral peduncle R,–,–,–,–,–,4.74,2.828,0.571,0.506,0.676
Cerebral peduncle L,–,–,–,–,–,8.34,2.695,0.554,0.491,0.643
Anterior corona radiata R,2.01,−2.314,−0.497,−0.439,−0.634,–,–,–,–,–
Posterior thalamic radiation R,–,–,–,–,–,11.20,2.383,0.509,0.450,0.628
Posterior thalamic radiation L,0.30,−2.464,−0.521,−0.493,−0.544,5.30,2.791,0.564,0.475,0.711
Superior longitudinal fasciculus L,–,–,–,–,–,0.47,2.300,0.498,0.474,0.538
