DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK)
Unnamed: 0_level_1,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation
Unnamed: 0_level_2,t-stats,t-stats,Effect-size,Effect-size,Effect-size,t-stats,t-stats,Effect-size,Effect-size,Effect-size
Unnamed: 0_level_3,Vol (%),<t>,<ρ>,ρmin,ρmax,Vol (%),<t>,<ρ>,ρmin,ρmax
MK,MK,MK,MK,MK,MK,MK,MK,MK,MK,MK
JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas
Anterior thalamic radiation L,1.17,−2.438,−0.519,−0.470,−0.603,–,–,–,–,–
Anterior thalamic radiation R,1.24,−2.753,−0.560,−0.469,−0.693,–,–,–,–,–
Cortical spinal tract L,–,–,–,–,–,1.10,2.651,0.548,0.471,0.647
Forceps major,–,–,–,–,–,2.39,2.511,0.528,0.450,0.638
Inferior fronto-occipital fasciculus L,–,–,–,–,–,1.43,2.510,0.528,0.452,0.638
Inferior longitudinal fasciculus L,–,–,–,–,–,1.42,2.528,0.530,0.452,0.638
ICBM81 Atlas,,,,,,,,,,
Genu of corpus callosum,0.47,−2.676,−0.552,−0.495,−0.623,–,–,–,–,–
Body of corpus callosum,0.70,−2.911,−0.581,−0.501,−0.681,–,–,–,–,–
Splenium of corpus callosum,–,–,–,–,–,1.59,2.569,0.538,0.487,0.617
Posterior limb of internal capsule R,1.12,−2.459,−0.520,−0.473,−0.611,–,–,–,–,–
Posterior thalamic radiation L,–,–,–,–,–,5.25,2.403,0.512,0.452,0.588
AK,AK,AK,AK,AK,AK,,,,,
JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas
Anterior thalamic radiation L,0.99,−2.422,−0.513,−0.419,−0.660,,,,,
Anterior thalamic radiation R,2.24,−2.001,−0.446,−0.398,−0.560,,,,,
Cingulum cingulate gyrus L,4.03,−2.426,−0.513,−0.437,−0.687,,,,,
Cingulum cingulate gyrus R,1.85,−2.640,−0.540,−0.401,−0.734,,,,,
Forceps major,0.40,−2.720,−0.559,−0.497,−0.642,,,,,
Forceps minor,4.79,−2.320,−0.496,−0.398,−0.745,,,,,
Inferior fronto-occipital fasciculus L,5.28,−2.582,−0.536,−0.419,−0.722,,,,,
Inferior fronto-occipital fasciculus R,3.76,−2.430,−0.511,−0.400,−0.757,,,,,
Inferior longitudinal fasciculus L,0.56,−2.435,−0.518,−0.463,−0.596,,,,,
Inferior longitudinal fasciculus R,1.99,−2.330,−0.498,−0.401,−0.678,,,,,
Superior longitudinal fasciculus L,1.36,−2.321,−0.499,−0.415,−0.642,,,,,
Superior longitudinal fasciculus R,1.98,−2.555,−0.532,−0.404,−0.719,,,,,
Uncinate fasciculus L,13.17,−2.590,−0.538,−0.419,−0.722,,,,,
Uncinate fasciculus R,9.30,−2.321,−0.494,−0.399,−0.757,,,,,
Superior longitudinal fasciculus temporal L,1.37,−2.372,−0.507,−0.420,−0.597,,,,,
Superior longitudinal fasciculus temporal R,4.31,−2.497,−0.524,−0.404,−0.643,,,,,
ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas
Genu of corpus callosum,3.14,−2.282,−0.491,−0.401,−0.677,,,,,
Splenium of corpus callosum,0.53,−2.820,−0.573,−0.503,−0.642,,,,,
Anterior limb of internal capsule R,5.77,−1.990,−0.444,−0.401,−0.531,,,,,
Anterior limb of internal capsule L,1.13,−2.326,−0.499,−0.431,−0.580,,,,,
Retrolenticular part of internal capsule R,0.36,−1.894,−0.427,−0.408,−0.456,,,,,
Anterior corona radiata R,5.99,−2.328,−0.497,−0.398,−0.706,,,,,
Anterior corona radiata L,9.18,−2.500,−0.525,−0.419,−0.660,,,,,
Superior corona radiata L,1.74,−2.157,−0.472,−0.418,−0.553,,,,,
Posterior thalamic radiation R,1.03,−2.164,−0.472,−0.419,−0.600,,,,,
Posterior thalamic radiation L,0.40,−2.435,−0.517,−0.481,−0.561,,,,,
External capsule R,25.15,−2.603,−0.536,−0.403,−0.756,,,,,
External capsule L,23.66,−2.512,−0.526,−0.414,−0.722,,,,,
Cingulum (cingulate gyrus) L,0.36,−2.157,−0.473,−0.453,−0.497,,,,,
Superior longitudinal fasciculus R,4.34,−2.531,−0.529,−0.405,−0.643,,,,,
Superior longitudinal fasciculus L,2.39,−2.303,−0.497,−0.420,−0.572,,,,,
Uncinate fasciculus R,12.63,−2.297,−0.493,−0.414,−0.594,,,,,
Uncinate fasciculus L,0.53,−1.925,−0.430,−0.429,−0.431,,,,,
RK,RK,RK,RK,RK,RK,RK,RK,RK,RK,RK
