MSDKI,MSDKI,MSDKI,MSDKI,MSDKI,MSDKI
MSD,MSD,MSD,MSD,MSD,MSD
Unnamed: 0_level_2,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation
Unnamed: 0_level_3,t-stats,t-stats,Effect-size,Effect-size,Effect-size
Unnamed: 0_level_4,Vol (%),<t>,<ρ>,ρmin,ρmax
JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas
Anterior thalamic radiation L,17.30,−2.872,−0.575,−0.440,−0.804
Anterior thalamic radiation R,6.77,−2.594,−0.537,−0.442,−0.758
Cortical spinal tract L,9.04,−2.771,−0.560,−0.440,−0.752
Cortical spinal tract R,9.18,−2.970,−0.587,−0.448,−0.758
Cingulum cingulate gyrus L,36.73,−3.372,−0.626,−0.444,−0.851
Cingulum cingulate gyrus R,25.93,−3.339,−0.628,−0.447,−0.841
Cingulum hippocampus L,32.53,−3.388,−0.635,−0.452,−0.790
Cingulum hippocampus R,23.23,−3.091,−0.601,−0.451,−0.776
Forceps major,22.76,−3.039,−0.595,−0.440,−0.825
Forceps minor,17.45,−2.757,−0.560,−0.439,−0.791
Inferior fronto-occipital fasciculus L,26.66,−2.865,−0.573,−0.440,−0.825
Inferior fronto-occipital fasciculus R,26.55,−2.811,−0.566,−0.442,−0.844
Inferior longitudinal fasciculus L,25.02,−2.812,−0.566,−0.440,−0.827
Inferior longitudinal fasciculus R,34.13,−2.823,−0.569,−0.442,−0.800
Superior longitudinal fasciculus L,15.18,−2.868,−0.575,−0.440,−0.793
Superior longitudinal fasciculus R,9.76,−2.913,−0.581,−0.441,−0.781
Uncinate fasciculus L,23.51,−2.853,−0.572,−0.443,−0.797
Uncinate fasciculus R,25.94,−3.144,−0.598,−0.442,−0.844
Superior longitudinal fasciculus temporal L,23.44,−2.845,−0.572,−0.440,−0.793
Superior longitudinal fasciculus temporal R,18.04,−2.864,−0.576,−0.441,−0.757
ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas,ICBM81 Atlas
Genu of corpus callosum,31.42,−2.596,−0.540,−0.440,−0.723
Body of corpus callosum,39.11,−3.151,−0.606,−0.440,−0.821
Splenium of corpus callosum,45.92,−2.885,−0.578,−0.440,−0.774
Corticospinal tract R,2.94,−2.557,−0.534,−0.453,−0.629
Corticospinal tract L,4.53,−2.386,−0.510,−0.449,−0.577
Medial lemniscus R,0.43,−2.251,−0.489,−0.482,−0.503
Superior cerebellar peduncle R,9.88,−2.560,−0.536,−0.450,−0.597
Superior cerebellar peduncle L,9.58,−2.509,−0.528,−0.450,−0.590
Cerebral peduncle R,44.91,−2.886,−0.577,−0.448,−0.723
Cerebral peduncle L,30.60,−2.925,−0.580,−0.445,−0.752
Anterior limb of internal capsule L,4.97,−2.243,−0.487,−0.440,−0.609
Posterior limb of internal capsule R,0.59,−2.423,−0.514,−0.464,−0.563
Posterior limb of internal capsule L,6.66,−2.321,−0.499,−0.440,−0.647
Retrolenticular part of internal capsule R,11.57,−2.472,−0.521,−0.445,−0.639
Retrolenticular part of internal capsule L,19.97,−2.712,−0.555,−0.442,−0.699
Anterior corona radiata R,12.02,−2.545,−0.532,−0.443,−0.714
Anterior corona radiata L,15.12,−2.801,−0.563,−0.443,−0.794
Superior corona radiata R,4.33,−2.791,−0.565,−0.450,−0.686
Superior corona radiata L,3.09,−3.548,−0.651,−0.462,−0.755
Posterior corona radiata R,2.17,−2.849,−0.574,−0.457,−0.660
Posterior corona radiata L,4.74,−3.319,−0.616,−0.456,−0.790
Posterior thalamic radiation R,47.83,−2.765,−0.563,−0.444,−0.764
Posterior thalamic radiation L,39.97,−2.844,−0.572,−0.442,−0.731
Sagittal stratum R,38.38,−2.508,−0.527,−0.442,−0.716
Sagittal stratum L,10.80,−2.666,−0.549,−0.447,−0.713
External capsule R,27.36,−3.018,−0.586,−0.445,−0.844
External capsule L,19.24,−2.781,−0.563,−0.444,−0.771
Cingulum (cingulate gyrus) R,38.43,−3.519,−0.647,−0.447,−0.841
Cingulum (cingulate gyrus) L,57.00,−3.975,−0.688,−0.448,−0.851
Cingulum (hippocampus) R,52.18,−3.127,−0.605,−0.456,−0.776
Cingulum (hippocampus) L,56.71,−3.536,−0.651,−0.450,−0.790
Fornix (cres) / Stria terminalis R,0.89,−2.240,−0.486,−0.446,−0.533
Fornix (cres) / Stria terminalis L,9.16,−2.781,−0.565,−0.456,−0.705
Superior longitudinal fasciculus R,19.78,−2.923,−0.583,−0.447,−0.750
Superior longitudinal fasciculus L,21.26,−3.003,−0.593,−0.442,−0.738
Superior fronto-occipital fasciculus L,0.59,−2.232,−0.486,−0.473,−0.503
Uncinate fasciculus R,76.84,−4.258,−0.720,−0.490,−0.810
Uncinate fasciculus L,39.36,−2.824,−0.574,−0.472,−0.640
Tapetum R,8.56,−2.652,−0.549,−0.457,−0.630
Tapetum L,1.17,−2.601,−0.542,−0.500,−0.587
