Unnamed: 0,SCANS,RUN DMC,HARMONISATION,PRESERVE,ASPS-Fam,CADASIL
Demographics,Mean (SD),Mean (SD),Mean (SD),Mean (SD),Mean (SD),Mean (SD)
Age (SD),70.01 (9.75),65.62 (8.81),72.23 (8.47),68.07 (9.11),65.43 (10.67),47.90 (9.77)
"Sex, male (%)",78 (0.65),284 (0.57),57 (0.45),43 (0.39),139 (0.40),26 (0.45)
Included in cross-sectional analysis,yes,yes,yes,yes,yes,yes
Sample size with complete DTI measures at baseline,113,435,127,101,256,54
Dementia cases with complete baseline imaging,18,50,23,–,–,–
Included in longitudinal analysis,yes,yes,yes,yes,no,yes
Sample size in longitudinal analysis with complete repeated DTI measures,97,267,127,81,–,53
Dementia cases with complete repeated imaging,17,12,23,–,–,–
Baseline complete DTI parameters,Mean (SD),Mean (SD),Mean (SD),Mean (SD),Mean (SD),Mean (SD)
MD Median(mm2/s),8.01e-04(4.09e-05),8.28e-04(3.57e-05),8.82e-04(6.08e-05),7.87e-04(4.28e-05),7.69e-04(3.04e-05),8.89e-04(1.30e-04)
PSMD(mm2/s),3.80e-04(1.14e-04),3.45e-04(7.39e-05),3.60e-04(7.71e-05),3.93e-04(9.77e-05),2.97e-04(5.31e-05),5.63e-04(1.88e-04)
DSEG θ(mm2/s),22.04(9.62),21.01(9.41),32.31(8.24),47.65(4.01),49.95(8.13),22.39(12.36)
Geff,7.94(2.32),3.90e-03(8.41e-04),0.41(0.22),0.17(0.10),4.36(1.65),2.16(1.16)
