Node,AD,SIVD,AUC
Left frontal_inf_orb,37.56 ± 34.42,94.47 ± 57.33,0.744
Right rolandic_oper,69.45 ± 52.95,259.94 ± 197.12,0.864
Left frontal_sup_medial,124.75 ± 94.75,84.71 ± 67.41,0.664
Right postcentral,366.85 ± 186.90,550.69 ± 272.83,0.708
Left parietal_sup,213.91 ± 194.41,347.73 ± 296.25,0.599
Left precuneus,475.28 ± 162.72,641.46 ± 458.63,0.616
Right frontal_sup,598.49 ± 359.91,57.73 ± 72.07,0.94
Right frontal_sup_orb,198.31 ± 156.54,51.13 ± 51.34,0.847
Right frontal_inf_oper,17.29 ± 23.03,11.75 ± 22.65,0.67
Left cingulum_ant,402.22 ± 197.43,87.05 ± 78.52,0.939
Right occipital_sup,363.68 ± 275.23,37.54 ± 35.08,0.933
Right putamen,610.14 ± 222.58,230.00 ± 132.35,0.946
