Unnamed: 0,Included (n = 26),Excluded (n = 5),p*
"Age, years",69.8 (2.8),69.6 (3.0),0.856
Women,15 (57.7),0 (0),0.043
"Education, years",11.7 (4.4),11.4 (6.0),0.775
"MMSE, points",28.2 (2.0),28.4 (0.9),0.696
"GDS, points",8.1 (5.1),4.6 (4.8),0.195
SNRa,5.471 (2.851),− 3.412 (2.553),< 0.001
Fractional anisotropy,Fractional anisotropy,Fractional anisotropy,Fractional anisotropy
Left MLF,0.477 (0.024),0.472 (0.031),0.815
Right MLF,0.484 (0.049),0.480 (0.035),0.584
Left IFO,0.487 (0.027),0.487 (0.032),0.856
Right IFO,0.478 (0.039),0.481 (0.040),0.897
"Mean diffusivity, 10−3 mm2/s","Mean diffusivity, 10−3 mm2/s","Mean diffusivity, 10−3 mm2/s","Mean diffusivity, 10−3 mm2/s"
Left MLF,0.958 (0.206),1.051 (0.298),0.235
Right MLF,0.952 (0.217),0.981 (0.153),0.129
Left IFO,0.934 (0.190),0.962 (0.153),0.176
Right IFO,0.930 (0.213),0.921 (0.106),0.235
"Radial diffusivity, 10−3 mm2/s","Radial diffusivity, 10−3 mm2/s","Radial diffusivity, 10−3 mm2/s","Radial diffusivity, 10−3 mm2/s"
Left MLF,0.678 (0.130),0.779 (0.246),0.129
Right MLF,0.682 (0.189),0.728 (0.150),0.159
Left IFO,0.661 (0.136),0.712 (0.162),0.195
Right IFO,0.672 (0.174),0.702 (0.157),0.417
"Axial diffusivity, 10−3 mm2/s","Axial diffusivity, 10−3 mm2/s","Axial diffusivity, 10−3 mm2/s","Axial diffusivity, 10−3 mm2/s"
Left MLF,1.481 (0.236),1.554 (0.311),0.358
Right MLF,1.467 (0.219),1.473 (0.136),0.280
Left IFO,1.449 (0.195),1.439 (0.094),0.448
Right IFO,1.422 (0.208),1.391 (0.081),0.658
