ROI,MAP,Contrast,P-value (FWE-corrected),Cluster size,z-Value,x (mm),y (mm),z (mm),Trained vs non-trained at day 84,Trained vs non-trained at day 84,Trained day 28 vs 84 d,Trained day 28 vs 84 d
ROI,MAP,Contrast,P-value (FWE-corrected),Cluster size,z-Value,x (mm),y (mm),z (mm),P-value,BF01,P-value,BF01
Cerebellum WM L,FA,lin trained > NonTrained,0.0,475,4.87,−28.5,−49.5,−37.5,0.691,2.746,0.189,1.848
Corticospinal tract WM L,FA,lin trained > NonTrained,0.009,76,3.962,−9.0,−28.5,−15.0,0.517,2.429,0.39,2.923
Cerebellum WM R,FA,lin trained > NonTrained,0.0,374,4.356,15.0,−46.5,−30.0,0.543,2.509,0.377,2.864
Corticospinal tract WM R,FA,lin trained > NonTrained,0.029,55,4.354,6.0,−27.0,−13.5,0.375,2.023,0.563,3.524
Cerebellum WM L,AD,lin trained > NonTrained,0.0,513,4.901,−28.5,−46.5,−37.5,0.26,2.023,0.096,1.14
Corticospinal tract WM L,AD,lin trained > NonTrained,0.042,48,3.993,−7.5,−25.5,−12.0,0.865,2.919,0.298,2.492
Cerebellum WM R,AD,lin trained > NonTrained,0.0,230,4.075,10.5,−57.0,−31.5,0.186,1.318,0.441,3.124
Corticospinal tract WM L,RD,lin trained < NonTrained,0.0,584,4.746,−25.5,−49.5,−36.0,0.341,1.89,0.369,2.832
Corticospinal tract WM R,RD,lin trained < NonTrained,0.0,628,4.509,9.0,−33.0,−15.0,0.096,0.715,0.794,3.986
Cerebellum GM L,MD,lin trained < NonTrained,0.0,951,5.198,−9.0,−88.5,−31.5,0.145,1.082,0.497,3.321
Thalamus GM L,MD,lin trained < NonTrained,0.002,170,4.366,0.0,−22.5,−7.5,0.508,2.5,0.722,3.879
Cerebellum GM R,MD,lin trained < NonTrained,0.0,1146,4.813,22.5,−69.0,−21.0,0.494,2.395,0.122,1.362
Hippocampus GM R,MD,lin trained < NonTrained,0.0,238,4.668,30.0,−42.0,−3.0,0.103,0.826,0.651,3.742
Thalamus GM R,MD,lin trained < NonTrained,0.0,220,4.46,6.0,−31.5,−3.0,0.268,1.746,0.162,1.661
