Unnamed: 0,Lean (n = 15),Obese (n = 15),T2DM (n = 16),ANOVA P-value
Age (years),57.3 ± 1.9,57.7 ± 2.2,61.4 ± 1.5,0.2
"Gender, male/female (n)",8/7,8/7,8/8,–
Weight (kg),71.5 ± 2.9,100.7 ± 3.0*,97.9 ± 3.0*,<0.001
Body mass index (kg/m2),23.4 ± 0.4,32.6 ± 0.8*,34.0 ± 0.9*,<0.001
Waist circumference (cm),85.7 ± 2.1,112.3 ± 2.2*,115.7 ± 1.8*,<0.001
Systolic blood pressure (mmHg),119 ± 4,127 ± 3,141 ± 3†,<0.001
Diastolic blood pressure (mmHg),76 ± 2,79 ± 2,83 ± 2,0.057
Fasting plasma glucose (mmol/l),5.2 ± 0.1,5.3 ± 0.1,8.4 ± 0.5†,<0.001
Glucose 2 h after OGTT (mmol/l),5.1 ± 0.3,5.4 ± 0.2,–,0.4
HbA1c (%),5.5 ± 0.03,5.5 ± 0.06,6.9 ± 0.22†,<0.001
HbA1c (mmol/mol),37 ± 0.3,37 ± 0.7,52 ± 2.4†,<0.001
Total cholesterol (mmol/l),5.6 ± 0.2,5.6 ± 0.2,4.5 ± 0.3†,0.002
LDL-cholesterol (mmol/l),3.3 ± 0.2,3.4 ± 0.2,2.3 ± 0.2†,<0.001
HDL-cholesterol (mmol/l),1.9 ± 0.1,1.4 ± 0.1*,1.3 ± 0.1*,<0.001
Triglycerids (mmol/l),0.9 ± 0.1,1.7 ± 0.3,1.8 ± 0.3,0.046
Fasting NEFA (mmol/l),0.46 ± 0.04,0.45 ± 0.03,0.64 ± 0.04†,0.001
Fasting insulin (pmol/l),36 ± 2.8,81 ± 14,117 ± 17†,<0.001
Diabetes duration (years),–,–,"7.0 [4.25, 10.75]",–
Fazekas score (0; 1; 2; 3),6; 7; 2; 0,8; 5; 2; 0,5; 9; 2; 0,0.8
