Base Classifiers,Classification Task,Classification Task,Classification Task,Classification Task,Classification Task,Classification Task,Classification Task,Classification Task,Classification Task
Unnamed: 0_level_1,AD-CT,AD-CT,AD-CT,AD-MCI,AD-MCI,AD-MCI,MCI-CT,MCI-CT,MCI-CT
Unnamed: 0_level_2,Acc.,Recall,F-1,Acc.,Recall,F-1,Acc.,Recall,F-1
Logistic Regression,0.733,0.867,0.767,0.7,0.8,0.729,0.667,0.667,0.667
Gaussian Naïve Bayes,0.567,0.6,0.566,0.6,0.6,0.584,0.633,0.6,0.58
Support Vector Machines,0.767,0.8,0.779,0.7,0.733,0.72,0.533,0.533,0.518
Random Forests,0.43,0.2,0.26,0.633,0.467,0.491,0.567,0.533,0.542
1-Nearest Neighbor,0.633,0.533,0.58,0.667,0.467,0.531,0.6,0.6,0.578
Ensemble,0.733,0.733,0.731,0.767,0.733,0.758,0.5,0.467,0.48
Ensemble with Feature Selection,0.8,0.8,0.798,0.833,0.8,0.825,0.7,0.5,0.667
