Unnamed: 0_level_0,MD (μm2/ms),MD (μm2/ms),MD (μm2/ms),FA,FA,FA
Unnamed: 0_level_1,Cognitively healthy elderly with lower??? WMH load (n = 21),Cognitively healthy elderly with higher??? WMH load (n = 21),Cohen’s d,Cognitively healthy elderly with lower??? WMH load (n = 21),Cognitively healthy elderly with higher??? WMH load (n = 21),Cohen’s d
DC right,0.74±0.03,0.76±0.04,0.63???,0.44±0.02,0.43±0.03,−0.52
DC left,0.74±0.04,0.77±0.04,0.61,0.47±0.03,0.45±0.03,−0.69???
VC right,0.71±0.05,0.71±0.07,0.05,0.39±0.02,0.39±0.02,−0.09
VC left,0.70±0.05,0.72±0.06,0.37,0.39±0.02,0.38±0.03,−0.42
SLF right,0.75±0.03,0.81±0.06,1.24???,0.43±0.02,0.41±0.03,−1.04???
SLF left,0.73±0.03,0.79±0.06,1.27???,0.44±0.02,0.41±0.03,−1.06???
CST right,0.69±0.05,0.71±0.06,0.39,0.53±0.03,0.52±0.03,−0.34
CST left,0.69±0.04,0.71±0.06,0.38,0.53±0.03,0.53±0.04,0.01
