Unnamed: 0_level_0,Unnamed: 1_level_0,Model 1 (unadjusted for WMH),Model 1 (unadjusted for WMH),Model 2 (adjusted for WMH),Model 2 (adjusted for WMH),Model 2 (adjusted for WMH)
Unnamed: 0_level_1,Unnamed: 1_level_1,Standardized β (Prodromal AD),R2,Standardized β (Prodromal AD),Standardized β (WMH-volume),ΔR2
MD,DC right,0.16???,0.03,0.12,0.21???,0.04???
MD,DC left,0.15???,0.02,0.09,0.26???,0.06???
MD,VC right,0.23???,0.05,0.23???,n.s.,n.s.
MD,VC left,0.27???,0.07,0.24???,n.s.,n.s.
MD,SLF right,0.19???,0.07,n.s.,0.74???,0.46???
MD,SLF left,0.20???,0.06,n.s.,0.74???,0.46???
MD,CST right,n.s.,0.02,n.s.,0.29???,0.07???
MD,CST left,n.s.,0.01,n.s.,0.24???,0.05???
FA,DC right,−0.23???,0.09,−0.16???,−0.28???,0.07???
FA,DC left,−0.20???,0.06,−0.16???,−0.17???,0.02???
FA,VC right,−0.18???,0.04,−0.18???,n.s.,n.s.
FA,VC left,−0.24???,0.06,−0.21???,n.s.,n.s.
FA,SLF right,−0.13???,0.03,n.s.,−0.61???,0.32???
FA,SLF left,−0.16???,0.04,n.s.,−0.61???,0.32???
FA,CST right,n.s.,0.04,n.s.,−0.33???,0.09???
FA,CST left,n.s.,0.09,n.s.,−0.21???,0.04???
