Unnamed: 0_level_0,Total sample,Total sample,60-72 years,60-72 years,78-87 years,78-87 years
Unnamed: 0_level_1,n = 253,n = 253,n = 147,n = 147,n = 106,n = 106
Unnamed: 0_level_2,M,SD,M,SD,M,SD
Age,72.29,8.88,65.64,4.78,81.51***,3.11
% female,64.43,64.43,63.27,63.27,66.04,66.04
"Education, years",12.22,3.96,12.97,3.64,11.17***,4.15
MMSE,29.1,1.01,29.32,0.85,28.80***,1.15
FA (mean of left+right),,,,,,
CCG,40.21,2.86,41.36,2.57,38.61***,2.46
CHC,39.83,2.66,40.74,2.56,38.58***,2.26
CS,56.14,2.29,56.8,2.21,55.21***,2.09
FMAJ,57.3,2.94,58.33,2.55,55.88***,2.86
FMIN,51.32,3.31,52.77,2.61,49.32***,3.13
IFOF,46.49,2.43,47.49,2.11,45.10***,2.15
SLF,41.7,2.43,42.34,2.23,40.79***,2.41
MD (mean of left+right),,,,,,
CCG,82.52,4.31,80.51,3.35,85.31***,3.93
CHC,100.36,9.31,95.91,7.38,106.53***,8.13
CS,75.09,2.73,73.79,1.76,76.89***,2.82
FMAJ,78.54,5.53,75.96,3.64,82.12***,5.73
FMIN,81.86,5.72,79.18,4.31,85.57***,5.37
IFOF,84.51,4.63,82.33,3.25,87.53***,4.57
SLF,77.58,4.32,75.68,3.09,80.23***,4.41
PS,,,,,,
Digit cancellation,18.18,4.19,19.53,4.21,16.27***,3.35
Pattern comparison,14.68,3.72,16.33,3.28,12.34***,2.98
EM,,,,,,
Word recall,7.17,2.41,7.8,2.27,6.29***,2.33
Word recognition,6.89,4.28,7.5,4.34,6.04**,4.07
(remember),,,,,,
SM,,,,,,
Vocabulary,23.64,4.38,24.55,3.81,22.39***,4.81
General knowledge,7.06,1.61,7.24,1.52,6.80*,1.71
LET_FLU,,,,,,
F,15.83,4.92,16.29,5.15,15.20,4.53
A,13.35,4.83,14.06,4.74,12.36**,4.79
CAT_FLU,,,,,,
Animals,22.56,6.0,24.5,6.03,19.88***,4.83
Professions,16.21,4.94,17.7,4.76,14.12***,4.43
