Unnamed: 0_level_0,FA,FA,FA,MD,MD,MD
Unnamed: 0_level_1,Total sample,60-72 years,78-87 years,Total sample,60-72 years,78-87 years
PS,,,,,,
CCG,0.07,0.01,0.16,-0.10,-0.12,-0.10
CHC,0.10,0.05,0.21,-0.24???,-0.1,-0.34???
CS,0.01,-0.12,0.16,-0.16???,-0.06,-0.25???
FMAJ,0.19???,0.12,0.28???,-0.19???,-0.05,-0.31???
FMIN,0.11,0.05,0.19,-0.09,-0.08,-0.10
IFOF,0.18???,0.11,0.28???,-0.15,-0.02,-0.25???
SLF,0.01,-0.04,0.09,-0.09,-0.02,-0.14
EM,,,,,,
CCG,0.00,0.04,-0.02,0.04,0.06,-0.02
CHC,0.08,0.16,-0.05,0.03,0.14,-0.09
CS,-0.03,0.06,-0.19,-0.04,0.03,-0.05
FMAJ,0.06,0.09,0.02,-0.08,0.06,-0.23
FMIN,0.01,0.02,-0.10,-0.00,0.03,-0.03
IFOF,0.04,0.03,0.08,-0.01,0.08,-0.09
SLF,-0.04,0.02,-0.15,0.04,0.06,0.03
SM,,,,,,
CCG,0.00,0.04,-0.04,0.00,-0.05,0.21
CHC,-0.01,0.13,-0.29,-0.01,-0.1,-0.26
CS,-0.04,-0.02,-0.07,-0.04,-0.06,-0.02
FMAJ,0.05,0.13,-0.06,0.05,-0.08,-0.03
FMIN,-0.07,0.03,-0.14,-0.07,-0.04,0.02
IFOF,0.05,0.1,-0.04,0.05,-0.07,-0.04
SLF,-0.03,0.02,-0.09,-0.03,-0.05,0.04
LET_FLU,,,,,,
CCG,0.01,0.01,-0.02,0.03,0.1,-0.06
CHC,0.03,-0.06,0.16,-0.07,0.07,-0.24
CS,-0.05,-0.02,-0.08,-0.07,-0.05,-0.10
FMAJ,0.09,0.08,0.10,-0.07,0.07,-0.18
FMIN,-0.07,-0.07,-0.06,0.12,0.15,0.08
IFOF,0.02,-0.07,0.12,-0.01,0.1,-0.10
SLF,-0.08,-0.08,-0.12,0.08,0.17,0.01
CAT_FLU,,,,,,
CCG,0.08,0.12,-0.02,-0.10,-0.1,-0.11
CHC,0.12,0.24,-0.13,-0.04,-0.04,-0.04
CS,0.03,0.04,0.02,-0.05,-0.06,-0.07
FMAJ,0.04,0.16,-0.11,-0.02,-0.07,0.01
FMIN,-0.00,0.05,-0.06,0.05,-0.02,0.11
IFOF,0.14,0.2,0.01,0.00,-0.03,0.03
SLF,0.06,0.13,-0.05,-0.06,-0.07,-0.05
