Area,Age for Maximum FA (month) (Mean ± SD),Age for Maximum FA (month) (Mean ± SD),Age for Maximum FA (month) (Mean ± SD),Age for Minimum MD (month) (Mean ± SD),Age for Minimum MD (month) (Mean ± SD),Age for Minimum MD (month) (Mean ± SD),Age for Minimum Da (month) (Mean ± SD),Age for Minimum Da (month) (Mean ± SD),Age for Minimum Da (month) (Mean ± SD),Age for Minimum Dr (month) (Mean ± SD),Age for Minimum Dr (month) (Mean ± SD),Age for Minimum Dr (month) (Mean ± SD)
Area,Control,HD,p,Control,HD,p,Control,HD,p,Control,HD,p
mPMC,49.4 ± 7.8,21.6 ± 4.2,0.002,48.3 ± 7.7,22.8 ± 0.8,0.003,47.4 ± 8.5,22.1 ± 5.0,0.006,48.8 ± 5.7,20.4 ± 3.0,0.001
VIP,36.7 ± 4.4,20.9 ± 3.1,0.002,35.7 ± 3.6,20.3 ± 1.0,0.001,37.8 ± 3.5,20.5 ± 4.1,0.001,36.8 ± 3.0,19.9 ± 2.6,0.001
TAa,49.1 ± 3.4,19.8 ± 2.2,<0.001,51.2 ± 0.8,20.8 ± 1.1,<0.001,50.5 ± 4.8,17.4 ± 0.8,<0.001,49.9 ± 2.9,19.1 ± 1.9,<0.001
MLF,47.5 ± 4.5,19.9 ± 2.4,<0.001,46.5 ± 2.2,19.9 ± 4.3,<0.001,47.7 ± 8.0,20.5 ± 1.8,0.002,46.7 ± 0.8,18.9 ± 0.9,<0.001
IC,34.0 ± 1.2,18.5 ± 1.0,<0.001,34.6 ± 2.5,18.4 ± 2.3,<0.001,34.8 ± 1.7,19.2 ± 0.6,<0.001,33.6 ± 1.7,18.5 ± 0.5,<0.001
AF,48.3 ± 2.9,24.8 ± 3.1,<0.001,47.7 ± 2.1,23.8 ± 2.4,<0.001,47.0 ± 2.4,26.7 ± 1.1,<0.001,48.2 ± 2.3,24.3 ± 1.6,<0.001
CC,70.4 ± 7.2,36.4 ± 5.2,0.001,69.8 ± 3.3,35.5 ± 1.2,<0.001,70.6 ± 5.8,36.4 ± 1.7,<0.001,71.4 ± 5.9,35.9 ± 3.0,<0.001
StB,27.6 ± 0.5,18.2 ± 1.0,0.001,28.9 ± 1.4,17.6 ± 1.0,<0.001,29.3 ± 5.8,18.5 ± 0.6,0.03,27.8 ± 6.1,17.7 ± 0.8,0.04
UF,58.2 ± 7.9,23.3 ± 0.6,0.001,59.9 ± 10.6,22.6 ± 2.1,0.002,61.1 ± 10.6,23.1 ± 5.3,0.003,59.6 ± 18.0,22.1 ± 1.6,0.02
MdLF,54.3 ± 2.9,23.2 ± 3.3,<0.001,55.3 ± 3.4,22.2 ± 0.7,<0.001,54.6 ± 12.5,22.5 ± 4.2,0.009,54.6 ± 2.5,22.2 ± 1.4,<0.001
CB,46.5 ± 1.9,18.7 ± 2.0,<0.001,46.1 ± 2.8,17.4 ± 0.9,<0.001,47.3 ± 4.4,17.5 ± 3.0,<0.001,45.5 ± 0.5,18.6 ± 1.7,<0.001
