Area,FA (Mean ± SD),FA (Mean ± SD),FA (Mean ± SD),MD (×10−3 mm2/s) (Mean ± SD),MD (×10−3 mm2/s) (Mean ± SD),MD (×10−3 mm2/s) (Mean ± SD),Da (×10−3 mm2/s) (Mean ± SD),Da (×10−3 mm2/s) (Mean ± SD),Da (×10−3 mm2/s) (Mean ± SD),Dr (×10−3 mm2/s) (Mean ± SD),Dr (×10−3 mm2/s) (Mean ± SD),Dr (×10−3 mm2/s) (Mean ± SD)
Area,Control,HD,p,Control,HD,p,Control,HD,p,Control,HD,p
mPMC,0.42 ± 0.03,0.36 ± 0.04,0.04*,0.62 ± 0.08,0.68 ± 0.04,0.28,0.94 ± 0.04,0.94 ± 0.05,0.99,0.54 ± 0.08,0.56 ± 0.02,0.79
VIP,0.46 ± 0.01,0.41 ± 0.02,0.008*,0.64 ± 0.02,0.66 ± 0.01,0.17,0.87 ± 0.04,0.90 ± 0.04,0.34,0.48 ± 0.05,0.52 ± 0.02,0.22
TAa,0.31 ± 0.02,0.22 ± 0.02,0.002*,0.65 ± 0.06,0.70 ± 0.02,0.25,0.84 ± 0.06,0.88 ± 0.04,0.36,0.55 ± 0.07,0.64 ± 0.02,0.09
MLF,0.46 ± 0.01,0.39 ± 0.02,0.002*,0.64 ± 0.03,0.66 ± 0.01,0.21,0.98 ± 0.07,0.99 ± 0.01,0.79,0.43 ± 0.01,0.51 ± 0.05,0.01
IC,0.41 ± 0.01,0.36 ± 0.01,0.001*,0.69 ± 0.02,0.74 ± 0.04,0.08,0.95 ± 0.05,1.01 ± 0.01,0.09,0.56 ± 0.02,0.60 ± 0.03,0.07
AF,0.42 ± 0.03,0.36 ± 0.02,0.02*,0.64 ± 0.03,0.69 ± 0.05,0.15,0.89 ± 0.06,0.99 ± 0.06,0.07,0.47 ± 0.06,0.54 ± 0.03,0.11
CC,0.67 ± 0.04,0.58 ± 0.01,0.02*,0.68 ± 0.02,0.77 ± 0.01,0.001*,1.11 ± 0.09,1.06 ± 0.04,0.43,0.44 ± 0.01,0.49 ± 0.02,0.01
StB,0.41 ± 0.02,0.35 ± 0.02,0.01*,0.68 ± 0.04,0.80 ± 0.04,0.008,1.10 ± 0.14,1.13 ± 0.05,0.68,0.47 ± 0.03,0.62 ± 0.04,0.002*
UF,0.35 ± 0.02,0.29 ± 0.02,0.007*,0.62 ± 0.06,0.72 ± 0.09,0.14,0.94 ± 0.03,0.92 ± 0.20,0.87,0.51 ± 0.06,0.58 ± 0.06,0.20
MdLF,0.39 ± 0.01,0.33 ± 0.02,0.004*,0.61 ± 0.06,0.69 ± 0.04,0.10,0.93 ± 0.06,0.96 ± 0.04,0.56,0.50 ± 0.06,0.58 ± 0.03,0.08
CB,0.44 ± 0.02,0.38 ± 0.01,0.01*,0.67 ± 0.08,0.71 ± 0.07,0.42,0.94 ± 0.10,1.04 ± 0.08,0.22,0.50 ± 0.02,0.55 ± 0.05,0.16
SS,0.32 ± 0.02,0.26 ± 0.02,0.01*,0.70 ± 0.05,0.72 ± 0.02,0.73,0.90 ± 0.07,0.98 ± 0.04,0.17,0.60 ± 0.05,0.59 ± 0.02,0.64
dOB,0.40 ± 0.02,0.36 ± 0.01,0.02*,0.59 ± 0.06,0.68 ± 0.01,0.06,0.89 ± 0.05,0.95 ± 0.02,0.11,0.46 ± 0.04,0.55 ± 0.01,0.02
EmC,0.47 ± 0.03,0.37 ± 0.04,0.02*,0.65 ± 0.05,0.72 ± 0.04,0.11,0.94 ± 0.05,1.00 ± 0.05,0.24,0.49 ± 0.06,0.58 ± 0.06,0.09
EC,0.36 ± 0.02,0.30 ± 0.01,0.007*,0.63 ± 0.01,0.70 ± 0.02,0.001*,0.94 ± 0.07,0.99 ± 0.02,0.27,0.56 ± 0.06,0.63 ± 0.03,0.13
FX,0.36 ± 0.01,0.26 ± 0.02,0.001*,0.79 ± 0.06,0.85 ± 0.08,0.29,0.99 ± 0.07,1.06 ± 0.02,0.15,0.64 ± 0.04,0.72 ± 0.05,0.09
ILF,0.41 ± 0.02,0.35 ± 0.02,0.02*,0.65 ± 0.05,0.70 ± 0.02,0.19,0.98 ± 0.04,1.04 ± 0.03,0.07,0.54 ± 0.04,0.62 ± 0.02,0.02
SLF Im,0.42 ± 0.01,0.36 ± 0.03,0.03*,0.63 ± 0.07,0.70 ± 0.04,0.17,0.94 ± 0.04,0.97 ± 0.04,0.44,0.50 ± 0.06,0.54 ± 0.02,0.38
SLF Ip,0.37 ± 0.01,0.32 ± 0.02,0.02*,0.65 ± 0.08,0.69 ± 0.02,0.39,0.88 ± 0.05,0.95 ± 0.07,0.17,0.52 ± 0.04,0.58 ± 0.06,0.16
SLF IIa,0.56 ± 0.01,0.46 ± 0.01,<0.001*,0.63 ± 0.07,0.68 ± 0.03,0.28,1.03 ± 0.07,1.09 ± 0.06,0.34,0.42 ± 0.02,0.46 ± 0.03,0.13
SLF IIm,0.55 ± 0.01,0.51 ± 0.01,0.001*,0.58 ± 0.06,0.63 ± 0.02,0.31,0.90 ± 0.15,1.10 ± 0.06,0.11,0.41 ± 0.02,0.45 ± 0.02,0.07
SLF IIp,0.36 ± 0.02,0.31 ± 0.02,0.01*,0.58 ± 0.07,0.64 ± 0.04,0.28,0.78 ± 0.01,0.79 ± 0.02,0.7,0.51 ± 0.05,0.54 ± 0.06,0.54
SLF III,0.48 ± 0.01,0.41 ± 0.02,0.002*,0.68 ± 0.03,0.70 ± 0.02,0.30,0.93 ± 0.11,1.04 ± 0.01,0.18,0.51 ± 0.02,0.53 ± 0.01,0.11
