Area,FA at 6 months (Mean ± SD),FA at 6 months (Mean ± SD),FA at 6 months (Mean ± SD),FA at 12 months (Mean ± SD),FA at 12 months (Mean ± SD),FA at 12 months (Mean ± SD),FA at 18 months (Mean ± SD),FA at 18 months (Mean ± SD),FA at 18 months (Mean ± SD),FA at 24 months (Mean ± SD),FA at 24 months (Mean ± SD),FA at 24 months (Mean ± SD)
Area,Control,HD,p,Control,HD,p,Control,HD,p,Control,HD,p
mPMC,0.34 ± 0.02,0.31 ± 0.01,0.09,0.36 ± 0.02,0.34 ± 0.04,0.13,0.38 ± 0.01,0.34 ± 0.01,0.03*,0.40 ± 0.02,0.35 ± 0.02,0.01*
VIP,0.35 ± 0.04,0.34 ± 0.02,0.66,0.40 ± 0.01,0.40 ± 0.01,0.6,0.42 ± 0.01,0.42 ± 0.01,0.86,0.42 ± 0.03,0.40 ± 0.02,0.45
TAa,0.23 ± 0.02,0.20 ± 0.02,0.14,0.25 ± 0.03,0.22 ± 0.03,0.21,0.28 ± 0.04,0.22 ± 0.03,0.14,0.30 ± 0.04,0.22 ± 0.04,0.04*
MLF,0.37 ± 0.01,0.35 ± 0.02,0.47,0.38 ± 0.02,0.38 ± 0.01,0.75,0.41 ± 0.01,0.41 ± 0.02,0.68,0.42 ± 0.01,0.38 ± 0.02,0.03*
IC,0.32 ± 0.01,0.31 ± 0.01,0.23,0.37 ± 0.01,0.34 ± 0.01,0.08,0.39 ± 0.01,0.36 ± 0.01,0.02*,0.41 ± 0.01,0.36 ± 0.01,0.01*
AF,0.27 ± 0.03,0.28 ± 0.05,0.85,0.30 ± 0.04,0.32 ± 0.03,0.83,0.35 ± 0.05,0.33 ± 0.05,0.71,0.38 ± 0.04,0.36 ± 0.07,0.15
CC,0.53 ± 0.02,0.50 ± 0.03,0.38,0.56 ± 0.04,0.53 ± 0.02,0.62,0.59 ± 0.04,0.56 ± 0.01,0.41,0.62 ± 0.05,0.56 ± 0.02,0.18
StB,0.33 ± 0.02,0.31 ± 0.03,0.54,0.36 ± 0.02,0.34 ± 0.02,0.71,0.38 ± 0.01,0.36 ± 0.03,0.41,0.39 ± 0.01,0.35 ± 0.02,0.05
UF,0.24 ± 0.01,0.23 ± 0.04,0.39,0.26 ± 0.01,0.26 ± 0.01,0.92,0.29 ± 0.01,0.28 ± 0.04,0.55,0.32 ± 0.01,0.29 ± 0.02,0.01*
MdLF,0.28 ± 0.02,0.28 ± 0.03,0.88,0.31 ± 0.02,0.31 ± 0.02,0.93,0.35 ± 0.02,0.34 ± 0.05,0.77,0.35 ± 0.02,0.33 ± 0.04,0.28
CB,0.31 ± 0.04,0.31 ± 0.01,0.87,0.36 ± 0.03,0.35 ± 0.01,0.49,0.39 ± 0.03,0.38 ± 0.02,0.56,0.40 ± 0.03,0.38 ± 0.01,0.33
SS,0.25 ± 0.01,0.25 ± 0.02,0.28,0.27 ± 0.01,0.26 ± 0.03,0.4,0.29 ± 0.02,0.27 ± 0.03,0.34,0.30 ± 0.01,0.27 ± 0.03,0.05
dOB,0.32 ± 0.03,0.32 ± 0.01,0.92,0.35 ± 0.01,0.35 ± 0.02,0.49,0.37 ± 0.02,0.36 ± 0.01,0.25,0.38 ± 0.01,0.36 ± 0.01,0.12
EmC,0.28 ± 0.03,0.26 ± 0.02,0.22,0.32 ± 0.03,0.29 ± 0.01,0.34,0.35 ± 0.03,0.34 ± 0.01,0.79,0.39 ± 0.03,0.35 ± 0.01,0.14
EC,0.23 ± 0.02,0.23 ± 0.01,0.9,0.27 ± 0.03,0.26 ± 0.01,0.6,0.31 ± 0.02,0.29 ± 0.02,0.29,0.34 ± 0.03,0.29 ± 0.02,0.17
FX,0.24 ± 0.03,0.20 ± 0.02,0.21,0.27 ± 0.03,0.23 ± 0.02,0.45,0.29 ± 0.03,0.26 ± 0.02,0.15,0.33 ± 0.02,0.26 ± 0.02,0.04*
ILF,0.32 ± 0.03,0.29 ± 0.04,0.64,0.34 ± 0.03,0.33 ± 0.03,0.97,0.38 ± 0.02,0.35 ± 0.01,0.16,0.39 ± 0.03,0.35 ± 0.04,0.24
SLF Im,0.30 ± 0.02,0.31 ± 0.02,0.8,0.36 ± 0.02,0.33 ± 0.02,0.16,0.38 ± 0.03,0.35 ± 0.01,0.26,0.39 ± 0.01,0.35 ± 0.02,0.007*
SLF Ip,0.26 ± 0.04,0.23 ± 0.01,0.39,0.29 ± 0.04,0.25 ± 0.02,0.19,0.32 ± 0.03,0.27 ± 0.03,0.18,0.35 ± 0.04,0.31 ± 0.03,0.18
SLF IIa,0.42 ± 0.03,0.41 ± 0.02,0.5,0.46 ± 0.03,0.44 ± 0.02,0.35,0.49 ± 0.03,0.47 ± 0.01,0.42,0.53 ± 0.01,0.47 ± 0.02,0.03*
SLF IIm,0.44 ± 0.02,0.42 ± 0.04,0.55,0.47 ± 0.03,0.46 ± 0.05,0.81,0.50 ± 0.03,0.50 ± 0.03,0.83,0.52 ± 0.03,0.50 ± 0.04,0.66
SLF IIp,0.22 ± 0.02,0.21 ± 0.02,0.16,0.27 ± 0.04,0.25 ± 0.02,0.36,0.30 ± 0.02,0.27 ± 0.03,0.10,0.33 ± 0.04,0.29 ± 0.03,0.98
SLF III,0.33 ± 0.01,0.33 ± 0.03,0.08,0.38 ± 0.01,0.39 ± 0.02,0.9,0.41 ± 0.01,0.42 ± 0.01,0.31,0.45 ± 0.01,0.40 ± 0.03,0.002*
