Characteristic,Overall sample,Non-Latino Black participants,Non-Latino white participants,p-value
N,86,39,47,
"Age, years",69.03 ± 6.65 (60–89),69.00 ± 6.61 (60–89),69.06 ± 6.75 (60–85),0.965
"Female, %",50.0,51.3,48.9,0.831
Degree years of education,15.58 ± 2.67 (10–22),14.85 ± 2.50 (10–18),16.19 ± 2.68 (12–22),0.019
pVIQ derived from Word Reading,107.98 ± 11.92 (79–126),99.13 ± 7.92 (81–110),115.32 ± 9.46 (79–126),<0.001
HAM-D total,1.08 ± 1.43 (0–7),1.06 ± 1.75 (0–7),1.09 ± 1.15 (0–4),0.923
MMSE total,28.79 ± 1.35 (25–30),28.59 ± 1.45 (25–30),28.96 ± 1.27 (25–30),0.212
FSRP-10,6.69 ± 5.13 (1.08–26.28),7.09 ± 5.45 (1.76–26.28),6.35 ± 4.87 (1.08–17.49),0.510
"IL-6, pg/mL",3.94 ± 2.41 (0.87–10.33),4.37 ± 2.33 (0.87–9.85),3.57 ± 2.45 (0.91–10.33),0.127
"CRP, pg/mL",2.97 ± 1.76 (0.23–6.02),3.23 ± 1.84 (0.23–6.02),2.76 ± 1.67 (0.24–6.02),0.216
"IL1-β, pg/mL",0.58 ± 0.12 (0.48–1.45),0.56 ± 0.05 (0.50–0.68),0.59 ± 0.15 (0.49–1.45),0.372
Global cognition,0.08 ± 0.62 (−1.81 to 1.55),−0.16 ± 0.64 (−1.81 to 1.55),0.28 ± 0.52 (−1.21 to 1.17),0.001
WMH (log-transformed),3.33 ± 0.47 (2.35–4.33),3.39 ± 0.41 (2.42–4.28),3.28 ± 0.51 (2.35–4.33),0.322
FA/NAWM Ratio*,2.70 ± 0.16 (2.32–3.14),2.66 ± 0.17 (2.32–2.97),2.72 ± 0.14 (2.39–3.14),0.123
MD/NAWM Ratio*,0.09 ± 0.03 (0.02–0.16),0.08 ± 0.03 (0.02–0.14),0.10 ± 0.03 (0.04–0.16),0.057
MWF/NAWM Ratio*,1.01 ± 0.06 (0.86–1.19),1.00 ± 0.06 (0.86–1.13),1.02 ± 0.06 (0.88–1.19),0.193
