White matter metric,β (SE),t-value,p-value,partial η 2
IL-6,,,,
White Matter Hyperintensities,0.012(0.181),0.066,0.948,< 0.001
Fractional Anisotropy,−0.005(0.072),–0.063,0.95,< 0.001
Mean Diffusivity,0.006(0.013),0.455,0.65,0.003
Myelin Water Fraction,−0.003(0.028),–0.095,0.925,< 0.001
CRP,,,,
White Matter Hyperintensities,−0.018(0.029),–0.643,0.522,0.006
Fractional Anisotropy,−0.022 (0.011),−1.983,0.052,0.059
Mean Diffusivity,0.0001(0.002),0.038,0.97,< 0.001
Myelin Water Fraction,−0.009 (0.004),−2.094,0.04,0.064
IL1-β,,,,
White Matter Hyperintensities,−1.753(1.044),–1.680,0.098,0.044
Fractional Anisotropy,0.339(0.408),0.833,0.408,0.011
Mean Diffusivity,0.066(0.071),0.933,0.354,0.014
Myelin Water Fraction,0.080(0.157),0.507,0.614,0.004
