Unnamed: 0,Controls (n = 50),aMCI (n = 56),naMCI (n = 52),F/x2,p
Age (years),65.0 ± 7.0,66.1 ± 8.0,66.1 ± 8.0,0.3,0.726
Education (years),11.6 ± 3.0,11.5 ± 3.0,10.8 ± 3.5,0.9,0.418
Male/female,21/29,20/36,18/34,0.7,0.707
MMSE,28.1 ± 1.4,27.0 ± 1.8,26.9 ± 1.7,8.9,"< 0.001a,b"
Memory,Memory,Memory,Memory,Memory,Memory
AVLT delay,5.7 ± 2.0,1.2 ± 1.1,4.4 ± 1.7,107.7,"< 0.001a,b,c"
AVLT total,30.0 ± 7.0,15.5 ± 4.3,25.5 ± 6.2,85.1,"< 0.001a,b,c"
R-O delay,14.9 ± 4.7,8.1 ± 6.3,10.2 ± 5.9,19.6,"< 0.001a,b,c"
Visual ability,Visual ability,Visual ability,Visual ability,Visual ability,Visual ability
R-O copy,35.0 ± 1.3,32.7 ± 5.5,28.6 ± 7.1,18.9,"< 0.001a,b,c"
CDT,25.0 ± 3.2,22.4 ± 5.2,21.0 ± 6.2,8.3,"< 0.001a,b"
Language,Language,Language,Language,Language,Language
CVFT,46.1 ± 8.2,40.7 ± 9.2,39.9 ± 8.7,7.8,"< 0.001a,b"
BNT,25.0 ± 2.4,22.1 ± 3.5,21.9 ± 3.9,13.4,"< 0.001a,b"
Attention,Attention,Attention,Attention,Attention,Attention
SDMT,37.5 ± 7.0,31.8 ± 8.3,23.2 ± 6.9,46.4,"< 0.001a,b,c"
TMTA,51.3 ± 12.8,58.4 ± 15.8,96.6 ± 38.6,48.6,"< 0.001b,c"
Execution,Execution,Execution,Execution,Execution,Execution
StroopCtime,74.4 ± 14.6,89.9 ± 27.9,94.6 ± 28.6,9.3,"< 0.001a,b"
TMTB,139.1 ± 34.8,191.9 ± 66.2,259.5 ± 85.1,42.8,"< 0.001a,b,c"
