Baseline characteristic,Cognitive decline relative hazard ratio (95% CI)
Univariate predictors,
Age ≥ 75 years,3.51 (2.21–5.57)
Male gender,1.40 (0.90–2.18)
New lesion in MRI at hospital admission,1.89 (0.94–3.83)
Infarct volume,1.01 (0.98–1.04)
Stroke severity,2.84 (1.58–5.11)
White matter hyperintensity (Fazekas) score,1.65 (0.99–2.74)
History of dyslipidemia,1.74 (1.10–2.75)
History of hypertension,1.57 (0.99–2.51)
Ever smoked,1.02 (0.63–1.63)
APOE ε4 allele,1.12 (0.62–2.01)
High ICC score at hospital admission,2.22 (1.39–3.54)
