Unnamed: 0,mean,SD,min,max
FW.NAWM,4.90E-02,0.306,−3.40E-01,1.47E+00
FW.WMH,2.95E-01,0.068,1.33E-01,5.06E-01
ADt.NAWM,9.37E-04,1.63e-05,8.37E-04,9.77E-04
ADt.WMH,9.28E-04,5.54e-05,7.94E-04,1.18E-03
FAt.NAWM,5.33E-01,0.0163,4.42E-01,5.67E-01
FAt.WMH,4.89E-01,0.0518,3.67E-01,6.94E-01
MDt.NAWM,5.97E-04,9.18e-07,5.94E-04,5.99E-04
MDt.WMH,5.99E-04,9.94e-07,5.96E-04,6.03E-04
RDt.NAWM,4.04E-04,8.11e-06,3.81E-04,4.39E-04
RDt.WMH,4.32E-04,2.36e-05,3.18E-04,4.95E-04
WMH volume???,−5.80E+00,1.05,−9.29E+00,−2.51E+00
nBV,1.49E+06,81800.0,1.21E+06,1.72E+06
