Unnamed: 0_level_0,Primary cohort,Primary cohort,Primary cohort,Primary cohort,Validation cohort,Validation cohort,Validation cohort,Validation cohort,t-Test/χ2,t-Test/χ2,t-Test/χ2
Unnamed: 0_level_1,AD,MCI,NC,ANOVA,AD,MCI,NC,ANOVA,AD,MCI,NC
Unnamed: 0_level_2,(n = 25),(n = 29),(n = 34),p,(n = 27),(n = 21),(n = 22),p,p,p,p
Age(year),73.48 ± 11.83,74.07 ± 10.76,69.03 ± 11.53,0.163,76.00 ± 9.78,72.52 ± 8.71,73.27 ± 6.05,0.321,0.405,0.591,0.118
"Sex, n(%)",,,,,,,,,,,
Female,12(48%),13(44.8%),11(32.4%),0.420,15(55.5%),10(47.6%),6(27.3%),0.256,0.782,0.536,0.461
Male,13(52%),16(55.2%),23(67.6%),,12(44.5%),11(52.4%),16(72.7%),,,,
Education (year),11.64 ± 2.72,12.83 ± 2.62,12.91 ± 2.24,0.121,14.96 ± 2.79,15.00 ± 2.75,15.41 ± 2.59,0.828,<0.001*,0.007,0.001
MMSE score,16.44 ± 5.98,25.55 ± 2.25,29.06 ± 1.20,<0.001*,22.07 ± 2.63,27.24 ± 1.55,29.50 ± 0.60,<0.001*,<0.001*,0.005,0.117
MoCA score,11.48 ± 4.14,21.72 ± 2.56,27.12 ± 1.97,<0.001*,14.85 ± 4.10,22.62 ± 2.16,28.23 ± 1.31,<0.001*,0.002,0.218,0.047
