Unnamed: 0_level_0,n1:n2:n3,AD,MCI,NC,ANOVA,ANOVA,ANOVA,Post-hoc groupwise (LSD),Post-hoc groupwise (LSD),Post-hoc groupwise (LSD)
Unnamed: 0_level_1,n1:n2:n3,(N = 25),(N = 29),(N = 34),F,Df,p,AD vs NC,MCI vs NC,AD vs MCI
ATR_L,24:29:34,0.802 ± 0.092,0.771 ± 0.051,0.742 ± 0.04,6.661,86,0.002??????,<0.001???,0.066,0.074
ATR_R,25:29:34,0.778 ± 0.094,0.770 ± 0.076,0.748 ± 0.061,1.21,87,0.303,0.146,0.270,0.699
CST_L,25:29:34,0.774 ± 0.051,0.755 ± 0.030,0.743 ± 0.031,4.845,87,0.010???,0.003???,0.223,0.066
CST_R,25:29:34,0.759 ± 0.055,0.742 ± 0.031,0.730 ± 0.028,3.892,87,0.024???,0.007???,0.233,0.118
CCing_L,23:28:33,0.800 ± 0.055,0.790 ± 0.038,0.766 ± 0.040,4.472,83,0.014???,0.006???,0.039???,0.419
CCing_R,20:27:33,0.773 ± 0.045,0.766 ± 0.044,0.741 ± 0.034,4.769,79,0.011???,0.007???,0.021???,0.545
CHippo_L,9:15:22,0.815 ± 0.049,0.786 ± 0.073,0.751 ± 0.044,4.581,45,0.016???,0.006???,0.067,0.235
CHippo_R,12:19:30,0.795 ± 0.034,0.744 ± 0.054,0.744 ± 0.060,4.274,60,0.019???,0.008???,0.990,0.013???
CC Splenium,21:27:33,0.883 ± 0.085,0.849 ± 0.07,0.853 ± 0.068,1.499,80,0.230,0.148,0.815,0.111
CC Genu,24:27:34,0.845 ± 0.054,0.833 ± 0.057,0.824 ± 0.046,1.154,84,0.320,0.133,0.494,0.419
IFOF_L,22:26:34,0.864 ± 0.059,0.818 ± 0.035,0.798 ± 0.035,16.124,81,<0.001???,<0.001???,0.072,<0.001???
IFOF_R,23:27:31,0.840 ± 0.078,0.800 ± 0.046,0.778 ± 0.033,9.028,80,<0.001???,<0.001???,0.118,0.010???
ILF_L,23:29:34,0.859 ± 0.081,0.824 ± 0.047,0.802 ± 0.039,7.24,85,0.001???,<0.001???,0.131,0.024???
ILF_R,24:28:34,0.811 ± 0.056,0.791 ± 0.057,0.776 ± 0.037,3.495,85,0.035???,0.010???,0.253,0.143
SLF_L,23:29:34,0.762 ± 0.065,0.747 ± 0.033,0.722 ± 0.029,6.493,87,0.002???,0.001???,0.022???,0.226
SLF_R,25:29:34,0.768 ± 0.052,0.763 ± 0.055,0.747 ± 0.027,1.667,87,0.195,0.091,0.187,0.678
UF_L,25:29:34,0.854 ± 0.043,0.823 ± 0.039,0.808 ± 0.048,8.084,87,0.001???,<0.001???,0.177,0.011???
UF_R,24:29:34,0.843 ± 0.083,0.800 ± 0.042,0.770 ± 0.040,12.133,86,<0.001???,<0.001???,0.038???,0.006???
AF_L,24:28:34,0.769 ± 0.055,0.751 ± 0.029,0.733 ± 0.029,6.777,85,0.002???,<0.001???,0.069,0.071
AF_R,24:25:33,0.759 ± 0.066,0.753 ± 0.035,0.737 ± 0.024,2.13,81,0.126,0.056,0.146,0.649
