Unnamed: 0_level_0,FA,FA,FA,MD,MD,MD
Unnamed: 0_level_1,AD vs NC,MCI vs NC,AD vs MCI,AD vs NC,MCI vs NC,AD vs MCI
ATR_L,0,0,0,14,0,0
ATR_R,0,0,0,18,0,0
CST_L,0,0,0,0,0,0
CST_R,0,0,0,0,0,0
Ccing_L,0,0,0,0,0,0
Ccing_R,0,0,0,17,0,0
Chippo_L,0,0,0,25,0,23
Chippo_R,0,0,0,0,0,0
CC Splenium,0,0,0,10,0,0
CC Genu,15,0,0,0,0,0
IFOF_L,0,0,0,21,0,0
IFOF_R,0,0,0,19,0,0
ILF_L,0,0,0,93,0,15
ILF_R,0,0,0,58,0,0
SLF_L,0,0,0,52,0,0
SLF_R,0,0,0,37,0,0
UF_L,40,0,37,83,0,55
UF_R,0,0,20,0,0,0
AF_L,0,0,0,40,0,0
AF_R,0,0,0,0,0,0
