Unnamed: 0_level_0,Location of changes in FA,Location of changes in FA,Location of changes in FA,Location of changes in MD,Location of changes in MD,Location of changes in MD
Unnamed: 0_level_1,AD vs NC,MCI vs NC,AD vs MCI,AD vs NC,MCI vs NC,AD vs MCI
ATR_L,–,–,–,A,–,–
ATR_R,–,–,–,A,–,–
CST_L,–,–,–,–,–,–
CST_R,–,–,–,–,–,–
CCing_L,–,–,–,–,–,–
CCing_R,–,–,–,M,–,–
CHippo_L,–,–,–,A,–,M
CHippo_R,–,–,–,–,–,–
CC Splenium,–,–,–,R,–,–
CC Genu,R,–,–,–,–,–
IFOF_L,–,–,–,M,–,–
IFOF_R,–,–,–,M,–,–
ILF_L,–,–,,A/M/P,–,M/P
ILF_R,–,–,–,M/P,–,–
SLF_L,–,–,–,M/P,–,–
SLF_R,–,–,–,M/P,–,–
UF_L,F,–,F,F/M/T,–,M
UF_R,–,–,F,–,–,–
AF_L,–,–,–,M/F,–,–
AF_R,–,–,–,–,–,–
