Neuropsychological test,Controls (n = 32),Patients (n = 12),p
Processing speed,Processing speed,Processing speed,Processing speed
Stroop colour naming,27.56 ± 4.72,34.18 ± 8.55,.015???
Stroop word reading,20.44 ± 4.48,26.64 ± 8.05,.016???
Trail making A,19.62 ± 7.13,30.27 ± 17.04,.034???
,,,
Executive function,Executive function,Executive function,Executive function
Trail making B,44.84 ± 22.67,69.82 ± 37.90,.030???
Stroop inhibition,49.97 ± 11.63,50.36 ± 11.78,.462
Stroop inhibition switching,55.59 ± 15.42,66.0 ± 22.14,.078
Trail making test B-A,25.28 ± 19.02,39.55 ± 25.35,.046???
,,,
Memory,Memory,Memory,Memory
WMS-III LM1 Immediate recall,50.25 ± 8.44,48.18 ± 11.16,.292
WMS-III LM2 delayed recall,32.38 ± 7.024,33.5 ± 8.49,.645
Peoples test immediate recall,28.44 ± 5.75,27.18 ± 9.83,.348
Peoples test delayed recall,10.12 ± 2.90,9.64 ± 2.73,.310
,,,
Intellectual ability,Intellectual ability,Intellectual ability,Intellectual ability
WTAR scaled score,114.9 ± 8.30,107.3 ± 19.91,.240
WASI matrix reasoning,28.88 ± 4.98,28.73 ± 3.20,.910
