Maximum Intensity Voxel,Maximum Intensity Voxel,Maximum Intensity Voxel,Voxels,p-value,White Matter tracts
x,y,z,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1
76.0,78.0,69.0,1235.0,0.019,Left Retrolenticular Internal Capsule
,,,,,Left Posterior Corona Radiata
,,,,,Left Posterior Thalamic Radiation
,,,,,Left External Capsule
,,,,,Left Superior Longitudinal Fasc.
,,,,,Left Inferior Longitudinal Fasc.
,,,,,Left Inferior Fronto-Occipital Fasc.
,,,,,Left Fornix
90.0,74.0,95.0,706.0,0.03,Left Callosal Body
,,,,,Left Posterior Corona Radiata
,,,,,Left Superior Corona Radiata
,,,,,Left Superior Longitudinal Fasc.
