Unnamed: 0_level_0,HC (n = 33),Norms-PD (n = 18),Hypos-PD (n = 70),P value
Unnamed: 0_level_1,Mean (SD),Mean (SD),Mean (SD),P value
Age (years),57.93 (11.30),57.66 (9.26),59.69 (7.84),0.54
"Gender, male (%)†",60.6,38.9,61.4,0.21
Education (years),15.70 (3.18),15.72 (2.52),15.40 (3.08),0.86
"Handedness, N (R/L/M)†",25/ 7/1,16/2/0,65/3/2,0.072
PD duration (months)‡,—,7.44 (7.53),6.79 (7.15),0.73
"H&Y, N (1/2)†",—,9/ 9,24/ 46,0.17
UPDRS-III,—,20.06 (8.30),20.71 (9.15),0.78
UPSIT*,36.39 (1.60),35.94 (1.39),17.53 (5.85),<0.001
MOCA,28.33 (1.19),27.50 (2.38),27.63 (2.33),0.23
GDS,1.33 (1.78),2.22 (2.51),2.47 (2.55),0.08
HVLT-Immediate Recall,47.39 (10.51),53.39 (9.36),48.61 (13.08),0.22
HVLT-Delayed Recall,48.88 (10.22),49.28 (7.80),50.36 (12.85),0.82
HVLT-Recognition,50.60 (8.82),50.00 (9.07),50.80 (10.77),0.96
Benton JOL,13.00 (2.41),12.53 (2.18),12.00 (2.99),0.22
LNS,11.79 (2.41),12.50 (1.76),11.86 (2.78),0.61
SF (Animal),54.00 (9.46),53.00 (7.99),51.67 (9.71),0.49
SDMT§,51.74 (12.58),46.43 (7.64),45.95 (9.32),0.03
Head motion,,,,
Translation (mm),0.43 (1.90),0.53 (0.25),0.45 (0.19),0.2
Rotation (degree),3.06 × 10−3 (2.47 × 10−3),3.70 × 10−3 (3.13 × 10−3),3.21 × 10−3 (1.93 × 10−3),0.62
Absolute motion (mm),1.53 (0.31),1.66 (0.34),1.55 (0.25),0.27
