Unnamed: 0_level_0,Aβ-negative CU,Aβ-positive CU,Aβ-positive MCI,Statistic
Unnamed: 0_level_1,N = 224,N = 91,N = 78,Statistic
Age,65.41 (9.74),69.97 (8.59),71.97 (6.44),F = 19.26
Age,65.41 (9.74),69.97 (8.59),71.97 (6.44),p < 0.00001
Males/females,99/125,40/51,42/36,χ2 = 106.04
Males/females,99/125,40/51,42/36,p < 0.00001
APOE ε4 carriers%,35.26%,70.32%,75.64%,χ2 = 155.6
APOE ε4 carriers%,35.26%,70.32%,75.64%,p < 0.00001
Years of education,12.87 (3.59),12.48 (3.32),12.50 (4.45),F = 0.507
Years of education,12.87 (3.59),12.48 (3.32),12.50 (4.45),p = 0.603
ADAS-Cog delayed word recall,2.41 (1.71),3.17 (1.96),7.14 (2.20),F = 184.7
ADAS-Cog delayed word recall,2.41 (1.71),3.17 (1.96),7.14 (2.20),p < 0.00001
VOSP cube analysis,9.63 (0.85),9.60 (1.12),8.59 (2.27),F = 18.89
VOSP cube analysis,9.63 (0.85),9.60 (1.12),8.59 (2.27),p < 0.00001
TMT (B–A) (seconds),44.19 (27.06),56.30 (52.14),139.39 (109.87),F = 74.23
TMT (B–A) (seconds),44.19 (27.06),56.30 (52.14),139.39 (109.87),p < 0.00001
Global Aβ (SUVR),0.47 (0.04),0.65 (0.14),0.78 (0.17),F = 248.4
Global Aβ (SUVR),0.47 (0.04),0.65 (0.14),0.78 (0.17),p < 0.00001
Entorhinal tau (SUVR),1.09 (0.12),1.30 (0.26),1.58 (0.37),F = 133.1
Entorhinal tau (SUVR),1.09 (0.12),1.30 (0.26),1.58 (0.37),p < 0.00001
