Unnamed: 0,Cognitive sample (n = 563),DTI sample (n = 89),P
"Age, M ± SD",82.27 ± 4.23,81.41 ± 3.01,0.02
"Sex, n (%) female",385 (68.38),58 (65.17),0.55
"Education, M ± SD",10.69 ± 3.84,11.48 ± 4.15,0.07
"MMSE, M ± SD",28.55 ± 1.48,28.91 ± 1.07,0.01
"APOE, n (%) any ε4",141 (25.04),23 (25.84),0.87
"ε22, n (%)",1 (0.18),0 (0.00),
"ε23, n (%)",61 (10.83),10 (11.24),
"ε33, n (%)",355 (63.06),56 (62.92),
"ε24, n (%)",16 (2.84),2 (2.25),
"ε34, n (%)",115 (20.43),20 (22.47),
"ε44, n (%)",10 (1.78),1 (1.12),
"Aggregated cardiovascular risk factors, M ± SD",1.07 ± 0.75,1.04 ± 0.94,0.80
"Diabetes, n (%)???",48 (8.63),9 (10.23),0.63
"High cholesterol, n (%), ≥6.5 mmol/L",72 (12.97),12 (13.64),0.86
"Hypertension stage 2, n (%)???",362 (64.30),54 (60.67),0.51
"Obesity, n (%), ≥ 30 kg/m2",64 (11.62),12 (13.48),0.61
"Current smoking, n (%)",57 (10.16),6 (6.74),0.31
"Aggregated cardiovascular diseases, M ± SD",0.68 ± 0.90,0.46 ± 0.72,0.01
"Atrial fibrillation, n (%)",138 (24.51),10 (11.24),0.01
"Heart failure, n (%)",100 (17.76),10 (11.24),0.13
"Ischemic heart disease, n (%)",142 (25.22),21 (23.60),0.74
PS,,,
"Digit cancellation, M ± SD",15.62 ± 3.58,16.56 ± 3.44,0.02
"Pattern comparison, M ± SD",11.41 ± 3.02,12.74 ± 2.81,< 0.01
