Unnamed: 0_level_0,Total sample,Total sample,Total sample,Total sample,Total sample,Total sample,Total sample,DTI subsample,DTI subsample,DTI subsample,DTI subsample,DTI subsample,DTI subsample,DTI subsample
Unnamed: 0_level_1,Before mediation,Before mediation,Before mediation,After mediation,After mediation,After mediation,Unnamed: 7_level_1,Before mediation,Before mediation,Before mediation,After mediation,After mediation,After mediation,Unnamed: 14_level_1
Unnamed: 0_level_2,STD estimate,p,r2,STD estimate,p,r2,% change,STD estimate,p,r2,STD estimate,p,r2,% change
FA FMAJ,,,,,,,,,,,,,,
APOE → PS,-0.088,0.041,0.0077,0.001,0.988,0.0,-100%,-0.154,0.137,0.0237,-0.084,0.432,0.0071,-70%
APOE → FMAJ,-0.278,0.002,0.0773,-0.291,0.001,0.0847,,-0.305,0.002,0.0930,-0.305,0.002,0.093,
FMAJ → PS,-,-,-,0.306,0.03,0.0936,,-,-,-,0.231,0.037,0.0534,
MD CS,,,,,,,,,,,,,,
APOE → PS,-0.088,0.041,0.0077,-0.037,0.49,0.0014,-82%,-0.154,0.137,0.0237,-0.104,0.317,0.0108,-54%
APOE → CS,0.196,0.037,0.0384,0.182,0.045,0.0331,,0.212,0.040,0.0449,0.203,0.047,0.0412,
CS → PS,-,-,-,-0.281,0.034,0.079,,-,-,-,-0.25,0.027,0.0625,
