"Demographic, anthropometric, and clinical characteristics",NP sample (n = 2262),MRI sample (n = 2028)
"Sex, n (%)",,
Women,1186 (52.4),1070 (52.8)
Men,1076 (47.6),958 (47.2)
"Age, years, mean (SD)",40.4 (8.6),40.2 (8.7)
"Race, n (%)",,
Black,3 (0.1),3 (0.1)
White,2251 (99.5),2018 (99.5)
Other,8 (0.4),7 (0.4)
Ethnicity,,
Hispanic,2 (0.1),2 (0.1)
Non‐Hispanic,2260 (99.9),2026 (99.9)
Education n (%),,
Bachelor's degree,843 (37.3),767 (37.9)
Graduate degree,380 (16.8),347 (17.2)
Highschool or less,310 (13.7),268 (13.3)
Some college,729 (32.2),640 (31.7)
"Blood draw to NP or MRI interval, years, mean (SD)",7.8 (1.1),7.8 (1.0)
"BMI, kg/m2, mean (SD)",26.9 (5.4),26.7 (5.2)
"WHR, mean (SD)",0.92 (0.08),0.92 (0.08)
"Excess WHR, n (%)",,
No,1705 (75.5),1543 (76.2)
Yes,553 (24.5),483 (23.8)
"Systolic blood pressure, mmHg, mean (SD)",116.9 (13.9),116.7 (13.9)
"Antihypertensive medication use, n (%)",174 (7.7),156 (7.7)
"Diabetes mellitus, n (%)",58 (2.6),50 (2.5)
"Current smoking, n (%)",299 (13.2),257 (12.7)
"Prevalent cardiovascular disease ???, n (%)",20 (0.9),14 (0.7)
Leptin markers,,
"Leptin, ng/mL, median (IQR)","7280 (3645, 14,973)","7330 (3623, 14,861)"
"sOB‐R, ng/mL, median (IQR)","17.7 (12.1, 23.7)","18.2 (12.3, 24.1)"
"FLI, median (IQR)","423.0 (193.5, 970.1)","418.3 (188.4, 961.7)"
Neuropsychological test scores,,
"Similarities, mean (SD)",17.34 (3.06),17.36 (3.09)
"TMT part A, min, median (IQR)","0.40 (0.32, 0.48)","0.38 (0.32, 0.47)"
"TMT part B, min, median (IQR)","0.93 (0.75, 1.18)","0.93 (0.75, 1.17)"
"Logical memory delayed recall, mean (SD)",11.79 (3.58),11.79 (3.59)
"HVOT, median (IQR)","27.0 (25.5, 28.0)","27.0 (25.5, 28.0)"
MRI measures (n = 2129),,
"Total cranial volume, cm3, mean (SD)",1264.1 (125.3),1263.1 (125.8)
"Total brain volume, cm3, mean (SD)1",998.4 (102.6),997.9 (102.8)
"Cortical gray matter volume, cm3, mean (SD)",480.2 (46.6),480.0 (46.7)
"Hippocampal volume, cm3, mean (SD)",6.86 (0.72),6.86 (0.72)
"WMH volume, cm3, median (IQR)","0.42 (0.21, 0.88)","0.42 (0.21, 0.86)"
"Fractional anisotropy, mean (SD)",0.62 (0.01),0.63 (0.01)
"Free water, median (IQR)","0.20 (0.19, 0.21)","0.20 (0.19, 0.21)"
"PSMD × 10−4, median (IQR)","2.16 (2.01, 2.36)","2.16 (2.01, 2.36)"
