"Demographic, anthropometric, and clinical characteristics",n (%)
Sex,
Women,66 (74.2)
Men,23 (25.8)
"Age, years, mean (SD)",70.5 (7.3)
"Education, years, mean (SD)",14.3 (2.4)
"BMI, kg/m2, mean (SD)",30.3 (6.4)
"Systolic blood pressure, mmHg, mean (SD)",134.2 (17.9)
"Antihypertensive medication use, n (%)",46 (51.7)
"Diabetes mellitus, n (%)",24 (27.0)
"Current smoking, n (%)",22 (24.7)
Leptin markers,
"Leptin, NPX, mean (SD)",−0.2 (1.4)
"Leptin receptor, NPX, mean (SD)",0.1 (0.3)
Neuropsychological test scores,
"TMT part A, min, median (IQR)","0.57 (0.43, 0.70)"
"TMT part B, min, median (IQR)","1.49 (1.21, 2.29)"
"Craft Story 21 Recall (Delayed), mean (SD)",17.2 (6.5)
MRI measures,
"Total cranial volume, cm3, mean (SD)",1349.8 (142.0)
"Total brain volume, cm3, mean (SD)",1049.2 (109.7)
"Total gray matter volume, cm3, mean (SD)",582.8 (54.2)
"WMH volume, cm3, median (IQR)","1.91 (0.87, 3.22)"
"Fractional anisotropy, mean (SD)",0.50 (0.01)
"Free water, median (IQR)","0.18 (0.17, 0.21)"
"PSMD × 10−4, median (IQR)","3.25 (2.94, 3.49)"
