Unnamed: 0_level_0,"PREDICT-HD (n = 622, 1247 scans)","PREDICT-HD (n = 622, 1247 scans)","IMAGE-HD (n = 107, 253 scans)","IMAGE-HD (n = 107, 253 scans)"
Unnamed: 0_level_1,"HD (n = 463, 893 scans)","Controls (n = 159, 354 scans)","HD (n = 72, 169 scans)","Controls (n = 35, 84 scans)"
Age,42.8 ± 12.1 [18.6–77.6],47.5 ± 12.1 [23.2–85.7],47.0 ± 11.1 [23.9–73.4],43.2 ± 13.9 [24.4–73.0]
CAP*,353.1 ± 100.1 [79.1–721.6],,408.4 ± 90.6 [163.3–632.9],
low - mid - high CAP*,124−139 −200,,6−19 − 47,
CAG repeats,42.3 ± 2.8 [36.0–62.0],,42.6 ± 2.2 [39.0–50.0],
UHDRS-TMS,8.6 ± 10.9 [0.0–69.0],3.6 ± 4.3 [0.0–25.0],10.1 ± 13.9 [0.0–74.0],
SDMT,50.3 ± 11.6 [6.0–81.0],53.6 ± 10.3 [26.0–95.0],44.7 ± 13.1 [15.0–74.0],56.0 ± 10.0 [31.0–80.0]
BDI,7.1 ± 6.9 [0.0–26.0],5.1 ± 6.3 [0.0–29.0],7.7 ± 8.3 [0.0–39.0],3.9 ± 4.1 [0.0–16.0]
"Sex, female/male (%)",307 / 156 (66.3%/33.7%),100 / 59 (62.9%/37.1%),37 / 35 (51.4%/48.6%),23 / 12 (65.7%/34.3%)
Participants with 1–7 time points,"217, 131, 66, 35, 9, 4, 1","60, 43, 28, 17, 10, 1, 0","15, 17, 40, 0, 0, 0, 0","7, 7, 21, 0, 0, 0, 0"
"Participants with manifested HD,manifested HD during the study","41, 28",,"14, 14",
