ROI,FA,AD,RD,Trace
Anterior Corona Radiata,2.08 × 10−4,2.93 × 10−12,3.39 × 10−10,1.48 × 10−11
Anterior Limb Internal Capsule,6.91 × 10−4,1.98 × 10−13,1.83 × 10−8,4.42 × 10−11
Body Corpus Callosum,1.11 × 10−16,1.11 × 10−16,1.11 × 10−16,1.11 × 10−16
Caudate,8.31 × 10−5,1.11 × 10−16,1.11 × 10−16,1.11 × 10−16
Cerebral Peduncle,1.31 × 10−2,7.64 × 10−6,3.94 × 10−4,3.14 × 10−5
Corticospinal Tract,9.29 × 10−1 *,8.02 × 10−1 *,4.17 × 10−1 *,6.44 × 10−1 *
Globus Pallidus,7.18 × 10−2 *,7.08 × 10−14,1.11 × 10−16,1.11 × 10−16
Inferior Fronto-occipital Fasciculus,1.48 × 10−1 *,1.81 × 10−8,1.01 × 10−12,4.62 × 10−13
Middle Cerebellar Peduncle,1.59 × 10−4,3.64 × 10−4,1.76 × 10−1 *,5.17 × 10−2 *
Posterior Corona Radiata,3.40 × 10−2 *,2.87 × 10−9,1.92 × 10−13,4.12 × 10−13
Posterior Limb Internal Capsule,6.37 × 10−1 *,1.89 × 10−3,9.70 × 10−4,3.16 × 10−4
Posterior Thalamic Radiation,1.35 × 10−5,1.11 × 10−16,1.11 × 10−16,1.11 × 10−16
Putamen,3.46 × 10−13,1.11 × 10−16,1.11 × 10−16,1.11 × 10−16
Retrolenticular Internal Capsule,8.12 × 10−1 *,1.20 × 10−7,3.33 × 10−16,2.44 × 10−15
Sagittal Stratum,4.54 × 10−5,9.84 × 10−13,1.38 × 10−10,1.38 × 10−12
Superior Corona Radiata,1.22 × 10−5,2.96 × 10−9,1.47 × 10−6,6.42 × 10−8
Superior Longitudinal Fasciculus,4.22 × 10−3,2.98 × 10−10,1.34 × 10−13,1.55 × 10−13
Thalamus,4.89 × 10−4,1.11 × 10−16,1.11 × 10−16,1.11 × 10−16
Uncinate Fasciculus,9.43 × 10−2 *,1.85 × 10−5,1.58 × 10−11,5.06 × 10−10
