Unnamed: 0,Cognitively normal,Early MCI,Late MCI,Dementia
Participants at baseline,46,48,29,39
6 months,77%,79%,78%,66%
1 year,76%,76%,81%,61%
2 years,64%,64%,57%,16%
Sex (male),50.0%,56.3%,72.4%,64.1%
APOE ɛ3/4 or 4/4,"28.3%???, ???, ???",50%???,79.3%,61.5%
White—not Hispanic/Latino,84.8%,91.7%,100.0%,87.2%
Age (years),72.9(5.9),72.9(7.8),72.4(6.4),74.4(8.5)
Education (years),16(3),16(3),16(3),15(3)
Memory composite (Z-score),"0.88(0.52)???, ???, ???","0.37(0.47)???, ???",− 0.07(0.47)???,− 0.67(0.51)
Executive function (Z-score),"0.81(0.72)???, ???, ???","0.19(0.62)???, ???",0.19(0.79)???,− 0.78(0.81)
Hippocampus (cm3),"7.5(0.9)???, ???","7.1(1.0)???, ???",6.6(0.9)???,6.0(0.8)
Total white matter hyperintensities (WMH) (cm3),"7.2(15.7)???, ???",7.4(6.4)???,10.0(9.6),11.7(11.8)
Intracranial vault (ICV) (cm3),1420(135)???,1462(144),1508(159),1443(166)
Total CSF (%ICV),"22%(2%)???, ???","21%(3%)???, ???",23%(3%)???,24%(2%)
Total gray matter (%ICV),"39%(2%)???, ???","39%(3%)???, ???",38%(3%),38%(2%)
Total normal appearing white matter (NAWM) (%ICV),31%(2%)???,"32%(3%)???, ???",31%(3%),30%(2%)
Mean FA,34.8 × 10− 2(2.2 × 10− 2)???,34.0 × 10− 2(2.6 × 10− 2)???,34.5 × 10− 2(2.3 × 10− 2)???,33.1 × 10− 2(2.1 × 10− 2)
Mean MD,"9.9 × 10− 4(8.0 × 10− 4)???, ???, ???",10.3 × 10− 4(1.0 × 10− 4)???,10.4 × 10− 4(1.0 × 10− 4)???,11.0 × 10− 4(1.0 × 10− 4)
Mean RD,"8.1 × 10− 4(8.0 × 10− 5)???, ???, ???",8.1 × 10− 4(1.0 × 10− 4)???,8.5 × 10− 4(1.0 × 10− 4)???,9.2 × 10− 4(1.0 × 10− 4)
Mean AxD,"13.6 × 10− 4(8.0 × 105)???, ???, ???",14.0 × 104(9.0 × 10− 5)???,14.1 × 10− 4(1.0 × 10− 4)???,14.7 × 104(1.0 × 10− 4)
FDG (SUVR),"1.40(0.21)???, ???, ???","1.34(0.22)???, ???",1.16(0.21)???,1.08(0.12)
AV45 (SUVR),"5.32(0.83)???, ???, ???","6.23(0.56)???, ???",6.53(0.61)???,6.52(0.68)
CSF Aβ1–42 (pg/ml),"210.9(51.8)???, ???, ???","168.2(49.1)???, ???",155.5(51.8)???,135.6(33.9)
CSF t-tau (pg/ml),"62.9(25.1)???, ???, ???",79.2(61.3)???,114.3(57.3)???,139.3(71.7)
CSF p-tau181 (pg/ml),"33.3(12.4)???, ???, ???",36.9(26.5)???,49.9(26.0)???,65.7(41.8)
