Characteristic,Non-carrier (N = 84),Mutation-carrier (N = 117),p-Value
"Age (yrs), mean (SD)",40.5 (10.7),38.6 (10.8),.230
"Sex, female (%)",58.3,50.8,.293
"Years of Education, mean (SD)",14.5 (3.2),14.1 (3.2),.492
"Body Mass Index, mean (SD)",28.8 (6.0),30.2 (24.2),.601
"???Hypertension, %",16.7,6.8,.080
"???Diabetes, %",2.4,0.0,.230
"Serum NfL (pg/mL), mean (SD)",23.7 (12.5),33.4 (23.1),.001
"EYO (yrs), mean (SD)",–,-8.5 (11.0),–
"MMSE, mean (SD)",29.2 (1.2),27.2 (4.1),<.001
"Clinical Dementia Rating, 0, 0.5, ≥ 1, n (%)","81 (96.4), 3 (3.6), 0 (0)","76 (65.0), 32 (27.4), 9 (7.6)",<.001
