WM tract,Fractional anisotropy,Fractional anisotropy,Mean diffusivity,Mean diffusivity,Axial diffusivity,Axial diffusivity,Radial diffusivity,Radial diffusivity
WM tract,B (SE),p,B (SE),p,B (SE),p,B (SE),p
Inferior Longitudinal Fasciculus,−0.062 (0.01),1.41e-06,0.090 (0.02),1.61e-05,0.065 (0.02),0.0077,0.102 (0.02),1.5e-06
Superior Longitudinal Fasciculus,−0.048 (0.01),0.0002,0.091 (0.02),1.34e-06,0.090 (0.02),2.71e-05,0.094 (0.02),4.46e-06
Frontal Occipital Fasciculus,−0.071 (0.01),1.54e-09,0.108 (0.02),8.03e-09,0.084 (0.02),2.32e-05,0.124 (0.02),6.52e-10
Perforant Pathway,−0.106 (0.02),5.28e-07,0.150 (0.02),6.78e-08,0.084 (0.04),0.0193,0.162 (0.03),6.4e-09
Uncinate Fasciculus,−0.047 (0.01),4.73e-05,0.060 (0.02),0.00019,0.037 (0.02),0.0398,0.071 (0.02),3.34e-05
Cingulum,−0.088 (0.02),7.8e-08,0.133 (0.02),3.69e-09,0.091 (0.03),0.00123,0.153 (0.02),1.93e-10
Frontal Aslant,−0.060 (0.01),9.83e-08,0.089 (0.02),4.51e-05,0.088 (0.03),0.00197,0.101 (0.02),6.29e-06
Corticospinal,−0.027 (0.01),0.012,0.032 (0.02),0.0689,0.007 (0.03),0.785,0.042 (0.02),0.00826
Anterior Corpus Callosum,−0.119 (0.02),3.1e-06,0.284 (0.04),4.31e-10,0.301 (0.06),4.52e-07,0.279 (0.04),7.2e-09
Posterior Corpus Callosum,−0.155 (0.02),4.26e-10,0.321 (0.04),1.83e-12,0.276 (0.06),3.76e-06,0.344 (0.04),8.09e-12
Forceps Minor,−0.074 (0.01),1.1e-08,0.099 (0.02),1.6e-07,0.086 (0.02),0.000364,0.114 (0.02),1.24e-08
Forceps Major,−0.087 (0.01),4.77e-09,0.122 (0.02),2.24e-08,0.082 (0.02),0.000109,0.146 (0.02),3.14e-09
