Metrics,White matter atlas*,White matter atlas*,White matter atlas*,White matter atlas*,Segregated thalamus analysis§,Segregated thalamus analysis§,Segregated thalamus analysis§,Segregated thalamus analysis§
Metrics,Overall,CDR ≤ .0.5,WMH ≤ 15 ml,Lacune ≤ 8,Overall,CDR ≤ .0.5,WMH ≤ 15 ml,Lacune ≤ 8
Scheltens scale†,72.1,72.7,67.2,72.6,–,–,–,–
Segregated WMH volume*,63.9,75.3,85.2,72.6,–,–,–,–
MK,77.9,81.8,81.0,77.4,68.9,76.6,80.3,79.0
Kaxial,68.9,76.6,73.8,72.6,56.6,64.9,59.0,56.5
Kradial,74.6,80.5,78.7,83.9,66.4,64.9,70.5,69.4
KFA,66.4,75.3,78.7,75.8,58.2,63.6,70.5,66.1
MD,76.2,80.5,80.3,77.4,63.1,68.8,75.4,71.0
Daxial,76.2,76.6,78.7,74.2,55.7,67.5,73.8,74.2
Dradial,71.3,77.9,88.5,79.0,65.6,76.6,73.8,74.2
FA,72.1,75.3,88.5,79.0,66.4,72.7,77.0,69.4
