Diagnosis,Controlsn = 69,Controlsn = 69,bvFTDn = 27,bvFTDn = 27,nfvPPAn = 14,nfvPPAn = 14,svPPAn = 19,svPPAn = 19,ADn = 19,ADn = 19,ANOVA n = 148
Diagnosis,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,ANOVA n = 148
Smx onset (age),,,53.56,7.54,63.14,5.39,57.11,8.91,55.79,9.2,p = 0.0058???
"Disease duration, baseline, yr",,,5.87,4.11,4.86,3.46,5.84,3.01,5.0,2.37,p = 0.6987
"Age at baseline scan, yr",64.19,6.7,59.43,6.84,68.0,7.18,62.95,7.12,60.79,9.01,p = 0.0025???
Follow-up scan (age),65.36,7.03,60.38,6.8,68.95,7.3,63.9,7.1,62.09,8.92,p = 0.0031???
"Interscan interval, yr",1.17,0.6,0.95,0.22,0.95,0.35,0.95,0.37,1.3,0.47,p = 0.0387???
"Sex, M/F, #",1.52,0.5,1.41,0.5,1.43,0.51,1.58,0.51,1.53,0.51,p = 0.7671
"Education, yr",17.59,1.94,15.78,2.95,16.46,2.79,16.5,2.71,16.83,3.22,p = 0.0262???
MMSE baseline,29.52,0.68,24.81,3.62,23.64,8.44,22.42,7.86,21.94,6.16,p < 0.00001???
MMSE follow-up,27.98,7.29,19.78,9.94,18.08,12.23,18.89,6.98,14.26,10.96,p < 0.00001???
CDRTot baseline,0.0,0.0,6.8,2.8,2.4,2.6,4.1,1.8,5.3,0.4,p < 0.0001???
CDRBox baseline,0.0,0.0,1.2,0.6,0.5,0.5,0.7,0.4,0.9,2.0,p < 0.0001???
CDRTot follow-up,0.0,0.0,8.5,3.0,3.4,3.8,5.5,2.7,5.6,3.9,p < 0.0001???
CDRBox follow-up,0.0,0.0,1.5,0.6,0.7,0.6,1.0,0.5,0.7,1.5,p < 0.0001???
