Method,Tract,Metric,Predictor,Uncorrected P,FDR alpha
DTI,CC-IV,MD,pTau181 / Aβ42,0.0005,0.0002
DTI,CC-IV,MD,YKL-40/ Aβ42,0.0009,0.0005
DTI,CC-IV,MD,tTau / Aβ42,0.001,0.0007
DTI,CC-III,MD,tTau / Aβ42,0.0011,0.001
DTI,CC-III,MD,pTau181 / Aβ42,0.0017,0.0012
DTI,CC-IV,MD,pTau181,0.0022,0.0014
DTI,CC-III,MD,pTau181,0.0029,0.0017
DTI,CC-IV,MD,tTau,0.0036,0.0019
DTI,CC-III,MD,tTau,0.0038,0.0021
DTI,CC-III,MD,YKL-40 / Aβ42,0.0041,0.0024
DTI,CC-IV,MD,YKL-40,0.0058,0.0026
DTI,CC-V,MD,YKL-40 / Aβ42,0.0244,0.0029
