Method,Tract,Metric,Predictor,Uncorrected P,FDR
FWE-DTI,CC-I,f,pTau181 / Aβ42,0.0005,0.0002
FWE-DTI,Cingulum,f,pTau181 / Aβ42,0.0007,0.0003
FWE-DTI,CC-I,f,YKL-40 / Aβ42,0.001,0.0005
FWE-DTI,CC-I,f,sAPPβ / Aβ42,0.0022,0.0006
FWE-DTI,Cingulum,f,sAPPβ / Aβ42,0.0024,0.0008
FWE-DTI,CC-I,f,tTau / Aβ42,0.0035,0.001
FWE-DTI,Cingulum,f,pTau181,0.0051,0.0011
FWE-DTI,Cingulum,f,YKL-40 / Aβ42,0.0101,0.0013
FWE-DTI,CC-IV,f,pTau181,0.0114,0.0014
FWE-DTI,Cingulum,f,tTau / Aβ42,0.0202,0.0016
FWE-DTI,CC-III,f,pTau181 / Aβ42,0.0359,0.0017
