Unnamed: 0_level_0,Gender,Gender,Unnamed: 3_level_0,Unnamed: 4_level_0
Unnamed: 0_level_1,Female,Male,Total,p Value
N,84,49,133,
Age at amy PET,77.8 ± 4.4,78.0 ± 3.8,77.9 ± 4.2,0.7469
Age at MRI,76.8 ± 4.2,76.9 ± 3.8,76.8 ± 4.0,0.8421
CCS,−0.1 ± 3.4,−1.4 ± 3.6,−0.6 ± 3.5,0.0375
Education (year),,,,0.0013
<9,17 (20.2%),1 (2.0%),18 (13.5%),
9–12,41 (48.8%),22 (44.9%),63 (47.4%),
>12,26 (31.0%),26 (53.1%),52 (39.1%),
Fazekas at 1st MRI,,,,0.6577
0,22 (38.6%),15 (40.5%),37 (39.4%),
1,21 (36.8%),15 (40.5%),36 (38.3%),
2,10 (17.5%),6 (16.2%),16 (17.0%),
3,4 (7.0%),1 (2.7%),5 (5.3%),
Mean hippocampal SUVr,,,,
Left hippocampus,0.61 ± 0.07,0.60 ± 0.06,0.60 ± 0.06,0.2403
Right hippocampus,0.62 ± 0.07,0.60 ± 0.06,0.61 ± 0.07,0.175
APOE,,,,0.3305
Negative,53 (82.8%),37 (88.1%),90 (84.9%),
Positive,11 (17.2%),5 (11.9%),16 (15.1%),
