Region,TOI analysis,TOI analysis,TOI analysis,TOI analysis,TOI analysis,TOI analysis,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0
Unnamed: 0_level_1,FA (mean ± SD),FA (mean ± SD),FA (mean ± SD),P-values,P-values,P-values,Voxel-wise analysis,Voxel-wise analysis,Voxel-wise analysis
Unnamed: 0_level_2,CN,FTD,AD,FTD<CN,AD<CN,FTD<AD>???,FTD<CN,AD<CN,FTD<AD???
a.CC,0.54 ± 0.03,0.46 ± 0.06,0.51 ± 0.04,0.0002,NS,0.007,S,NS,S
p.CC,0.64 ± 0.04,0.61 ± 0.04,0.61 ± 0.04,NS,0.02,NS,S,S,NS
L.a.Cg,0.50 ± 0.04,0.43 ± 0.05,0.45 ± 0.05,<0.0001,0.003,NS,S,NS,S
R.a.Cg,0.41 ± 0.03,0.37 ± 0.04,0.39 ± 0.05,0.005,NS,NS,S,NS,S
L.p.Cg,0.48 ± 0.04,0.45 ± 0.04,0.44 ± 0.03,NS,0.002,NS,S,S,NS
R.p.Cg,0.43 ± 0.04,0.41 ± 0.04,0.41 ± 0.03,NS,NS,NS,S,NS,NS
L.d.Cg,0.36 ± 0.02,0.32 ± 0.03,0.32 ± 0.03,<0.0001,<0.0001,NS,S,S,NS
R.d.Cg,0.39 ± 0.03,0.35 ± 0.05,0.34 ± 0.04,0.003,0.0001,NS,S,NS,NS
L.Unc,0.39 ± 0.03,0.34 ± 0.03,0.36 ± 0.03,<0.0001,0.0004,0.04,S,S,S
R.Unc,0.38 ± 0.04,0.33 ± 0.05,0.36 ± 0.04,0.005,NS,0.03,S,S,S
L.CST,0.52 ± 0.03,0.52±0.03,0.53 ± 0.03,NS,NS,NS,NS,NS,NS
R.CST,0.58 ± 0.02,0.57 ± 0.04,0.58 ± 0.03,NS,NS,NS,NS,NS,NS
