Unnamed: 0_level_0,Controls,aMCI,Unnamed: 3_level_0,Mild AD,Unnamed: 5_level_0,Unnamed: 6_level_0
Unnamed: 0_level_1,(n = 105),(n = 48),p‐Value (aMCI × controls),(n = 30),p‐Value (mild AD × controls),p‐Value (mild AD × aMCI)
Age,60 ± 7.29,68 ± 7.13,0.067,"73 ± 7.56 ???, ???,???, ???",0.0,0.046
,66 (10),66 (11),,74 (10),,
Education (years),11.66 ± 5.05,"9.39 ± 5.78 ???, ???",0.048,"6.5 ± 4.96 ???, ???",0.0,0.059
,14 (5),11 (13),,5 (5),,
CDR,0,"0.5 ± 0 ???, ???",0.0,"0.87 ± 0.21 ???, ???,???, ???",0.0,0.0
Pfeffer,0.53 ± 0.80,"3.33 ± 3.04 ???, ???",0.033,"12.97 ± 5.17 ???, ???,???, ???",0.0,0.0
,0 (1),1 (4),,10 (2),,
MMSE,28.42 ± 1.49,"25.59 ± 2.88 ???, ???",0.0,"20.1 ± 5.92 ???, ???,???, ???",0.0,0.0
,29 (3),26 (4),,23 (5),,
RAVLT,45.16 ± 8.44,"30.54 ± 8.03 ???, ???",0.0,"21.77 ± 12.33 ???, ???,???, ???",0.0,0.0
,40.5 (15),30 (7),,23 (8),,
A7,8.95 ± 2.81,"3.78 ± 2.24 ???, ???",0.0,"1.03 ± 1.58 ???, ???,???, ???",0.0,0.0
,7.5 (4),3 (3),,0 (2),,
CSF biomarkers (pg/ml),,,,,,
t‐Tau,,102.79 ± 66.55,,"142.34 ± 79.32 ???, ???",,0.03
,,78.68 (65.58),,119.27 (119.7),,
p‐Tau,,45.75 ± 23.66,,58.97 ± 36.80,,0.07
,,41.06 (27.8),,46.67 (30.4),,
Aβ42,,375.44 ± 105.81,,333.87 ± 113.86,,0.18
,,391.94 (145.69),,348.34 (185.65),,
Aβ42 /t‐Tau,,5.06 ± 2.96,,"3.22 ± 2.4 ???, ???",,0.025
,,4.64 (4.23),,2.3 (2.74),,
Aβ42 /p‐Tau,,11.33 ± 8.5,,7.95 ± 7.19,,0.23
,,8.43 (8.91),,5.74 (5.63),,
Hippocampal volume (mm3),,,,,,
Left hippocampus (10‐3),2.86 ± 0.44,"2.53 ± 0.55 ???, ???",0.005,"2.09 ± 0.34 ???, ???,???, ???",0.0,0.002
,2.96 (0.1),2.61 (0.1),,0.2 (0.04),,
Right hippocampus (10‐3),3.05 ± 0.49,"2.71 ± 0.56 ???, ???",0.009,"2.1 ± 0.42 ???, ???,???, ???",0.0,0.003
,3.17 (0.07),2.87 (0.12),,2.02 (0.03),,
