Variable,"Mean (SD, Range)"
Demographics,
"Age, years","72.93 (5.93, 55–84)"
"Education, years","16.85 (1.79, 12–20)"
Sex (% Female),65.00
Ethnicity (% White),90.00
Clinical and Vascular Risk Variables,
Cognitive Status,
% with Normal Cognition,85.00
% with Mild Cognitive Impairment,15.00
FSRP,"8.37 (5.95, 0.57—21.86)"
GDS,"4.00 (3.76, 0—11)"
Neuropsychological Measures,
DRS Total Score,"140.15 (3.75, 127—144)"
ANART Estimated VIQ,"123.46 (2.99, 118—128)"
Episodic Memory*,"0.00 (0.83, -1.84—1.7)"
Executive Functioning*,"0.00 (0.63, -1.24—1.14)"
