Unnamed: 0,Variable,B,SE,β,t,p,F,R2,Δ R2,Block p
Block 1,,,,,,,1.847,0.257,,0.121
,Age,0.028,0.032,0.199,0.859,0.396,,,,
,Education,.182,0.079,.394,2.316,0.027,,,,
,Sex*,0.150,0.295,0.087,0.508,0.615,,,,
,FSRP,0.042,0.027,0.300,1.546,0.132,,,,
,HippocampalVolume,0.378,0.314,0.248,1.202,0.238,,,,
,Fornix DTI FA,0.246,3.19,0.018,0.077,0.939,,,,
Block 2,,,,,,,2.803,0.388,0.13,0.022
,Age,0.015,0.03,0.109,0.504,0.618,,,,
,Education,.171,0.073,.369,2.346,0.026,,,,
,Sex*,0.292,0.275,0.264,1.568,0.128,,,,
,FSRP,0.046,0.025,0.334,1862,0.072,,,,
,HippocampalVolume,0.313,0.291,0.206,-1.077,0.29,,,,
,Fornix DTI FA,− 0.812,2.2972,− 0.058,− 0.273,0.786,,,,
,Fornix MWF,20.246,7.881,.380,2.569,0.015,,,,
