Index,Tract,Total subjects or raw samples (N0),Total subjects or raw samples (N0),Total subjects or raw samples (N0),Total subjects or raw samples (N0),No. of subjects showing successful tract identification (N1),No. of subjects showing successful tract identification (N1),No. of subjects showing successful tract identification (N1),No. of subjects showing successful tract identification (N1),Ratio (N1/N0),Ratio (N1/N0),Ratio (N1/N0),Ratio (N1/N0)
Index,Tract,HC,WMH‐NC,WMH‐MCI,Total,HC,WMH‐NC,WMH‐MCI,Total,HC (%),WMH‐NC (%),WMH‐MCI (%),Total (%)
1,ATR_L,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
2,ATR_R,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
3,CST_L,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
4,CST_R,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
5,CC_L,23,22,25,70,23,21,25,69,100.0,95.5,100.0,98.6
6,CC_R,23,22,25,70,23,19,24,66,100.0,86.4,96.0,94.3
7,CH_L,23,22,25,70,19,13,20,52,82.6,59.1,80.0,74.3
8,CH_R,23,22,25,70,11,14,11,36,47.8,63.6,44.0,51.4
9,Forceps major,23,22,25,70,23,22,23,68,100.0,100.0,92.0,97.1
10,Forceps minor,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
11,IFOF_L,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
12,IFOF_R,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
13,ILF_L,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
14,ILF_R,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
15,SLF_L,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
16,SLF_R,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
17,UF_L,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
18,UF_R,23,22,25,70,23,22,25,70,100.0,100.0,100.0,100.0
19,AF_L,23,22,25,70,20,22,23,65,87.0,100.0,92.0,92.9
20,AF_R,23,22,25,70,19,17,19,55,82.6,77.3,76.0,78.6
