Items,HC (n = 23),WMH,WMH,F/χ2,P,Post hoc analyses,Post hoc analyses,Post hoc analyses
Items,HC (n = 23),NC (n = 19),MCI (n = 22),F/χ2,P,HC VS WMH‐NC,HC VS WMH‐MCI,WMH‐NC VS WMH‐MCI
Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics
Age (y),62.3 ± 1.50,67.1 ± 1.66,65.1 ± 1.54,2.311,.108???,–,–,–
Education (y),12.7 ± 0.67,11.7 ± 0.73,11.00 ± 0.68,1.599,.210???,–,–,–
Gender (male/female),12/11,9/10,9/13,0.576,.750???,–,–,–
General cognition,General cognition,General cognition,General cognition,General cognition,General cognition,General cognition,General cognition,General cognition
MMSE,29.2 ± 0.31,28.6 ± 0.34,27.3 ± 0.32,9.653,"<.001???, ???",0.206,<0.001???,0.006???
MoCA‐BJ,26.7 ± 0.36,26.4 ± 0.40,21.5 ± 0.37,61.959,"<.001???, ???",0.667,<0.001???,<0.001???
Composition Z scores of each cognitive domain,Composition Z scores of each cognitive domain,Composition Z scores of each cognitive domain,Composition Z scores of each cognitive domain,Composition Z scores of each cognitive domain,Composition Z scores of each cognitive domain,Composition Z scores of each cognitive domain,Composition Z scores of each cognitive domain,Composition Z scores of each cognitive domain
Episodic Memory,0.45 ± 0.14,0.05 ± 0.16,−0.51 ± 0.15,11.137,"<.001???, ???",0.065???,<0.001???,0.011???
AVLT‐DR,0.35 ± 0.19,0.32 ± 0.21,−0.64 ± 0.19,8.626,".001???, ???",0.896,<0.001???,0.001???
VR‐DR (WMS),0.54 ± 0.19,−0.22 ± 0.21,−0.37 ± 0.20,6.192,".004???, ???",0.011???,0.002???,0.593
Information Processing Speed,0.27 ± 0.17,0.18 ± 0.19,−0.44 ± 0.18,4.816,".011???, ???",0.720,0.005???,0.020???
TMT‐A (inverse),0.45 ± 0.20,−0.02 ± 0.22,−0.45 ± 0.2,5.138,".009???, ???",0.120,0.002???,0.142
Stroop A (inverse),0.20 ± 0.20,0.24 ± 0.22,−0.41 ± 0.21,3.026,.056???,–,–,–
Stroop B (inverse),0.17 ± 0.20,0.31 ± 0.22,−0.45 ± 0.21,3.729,".030???, ???",0.640,0.035???,0.015???
Language,0.25 ± 0.13,−0.08 ± 0.19,−0.19 ± 0.18,1.678,.195,–,–,–
CVF,0.01 ± 0.21,0.11 ± 0.23,−0.11 ± 0.22,0.229,.796,–,–,–
BNT,0.48 ± 0.20,−0.26 ± 0.22,−0.28 ± 0.20,4.661,".013???, ???",0.014???,0.009???,0.961
Executive Function,0.20 ± 0.14,0.12 ± 0.16,−0.32 ± 0.14,3.741,".029???, ???",0.581,<0.001???,<0.001???
DST‐backward,0.11 ± 0.21,0.02 ± 0.23,−0.13 ± 0.22,0.320,.727,–,–,–
TMT‐B (inverse),0.52 ± 0.19,−0.01 ± 0.21,−0.54 ± 0.19,7.490,".001???, ???",0.239,<0.001???,<0.001???
Stroop C (inverse),−0.02 ± 0.21,0.35 ± 0.26,−0.28 ± 0.21,2.152,.125,–,–,–
