Diffusion measures & fiber tracts,Accuracy (%),Sensitivity (%),Specificity (%)
FA,FA,FA,FA
–,–,–,–
MD,MD,MD,MD
ATR_R,68.3,77.3,57.9
IFOF_R,68.3,77.3,57.9
ILF_R,68.3,77.3,57.9
SLF_L,68.3,77.3,57.9
ATR_R(n1‐21),80.5,81.8,79.0
CST_R(n66‐100),80.5,81.8,79.0
IFOF_R(n82‐87),80.5,81.8,79.0
IFOF_R(n93‐100),80.5,81.8,79.0
ILF_R(n26‐58),80.5,81.8,79.0
AD,AD,AD,AD
ATR_R,65.9,68.2,63.2
CC_R,65.9,68.2,63.2
IFOF_R,65.9,68.2,63.2
ATR_R(n2‐15),61.0,63.6,57.9
CC_R(n24‐30),61.0,63.6,57.9
IFOF_R(n84‐86),61.0,63.6,57.9
RD,RD,RD,RD
ATR_R,56.1,59.1,52.6
IFOF_R,56.1,59.1,52.6
ILF_L,56.1,59.1,52.6
ILF_R,56.1,59.1,52.6
ATR_R(n1‐19),73.2,77.3,68.4
IFOF_R(n92‐94),73.2,77.3,68.4
ILF_R(n32‐50),73.2,77.3,68.4
