Unnamed: 0_level_0,Standard DTI,Standard DTI,Standard DTI,Standard DTI,Free-water DTI,Free-water DTI,Free-water DTI,Free-water DTI,Free-water DTI,Free-water DTI
Unnamed: 0_level_1,FA (HC) > FA (AD),FA (HC) < FA (AD),AD (HC) < AD (AD),RD (HC) < RD (AD),FA (HC) > FA (AD),FA (HC) < FA (AD),AD (HC) > AD (AD),AD (HC) < AD (AD),RD (HC) > RD (AD),RD (HC) < RD (AD)*
Unnamed: 0_level_2,%,%,%,%,%,%,%,%,%,%
JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas
Left ATR,–,–,34.13,31.06,–,7.91,0.42,1.95,6.12,–
Right ATR,–,1.14,31.99,28.51,–,9.96,0.53,1.64,6.79,–
Left CST,–,–,12.67,10.72,–,3.96,–,2.92,5.11,–
Right CST,–,1.59,14.34,16.38,–,8.47,–,6.06,8.97,–
Left CGC,6.41,–,9.77,38.37,1.90,–,4.34,–,–,–
Right CGC,–,–,24.44,41.83,–,–,1.62,–,–,–
CGH,–,–,60.13,61.44,–,–,–,–,3.8 (only R),–
Forceps major,–,–,7.68,39.35,–,–,–,–,–,–
Forceps minor,7.76,–,18.98,33.10,4.78,–,5.60,–,–,–
IFOF left ATR,–,–,19.25,43.47,–,–,2.19,–,1.67,–
ILF,–,–,23.83,43.79,–,–,1.48,–,3.86,–
SLF,–,–,14.15,19.48,–,–,–,–,–,–
UF,–,–,30.18,48.35,–,–,0.61,–,–,–
ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas
Genu of CC,44.91,–,39.39,88.39,30.35,–,34.10,–,–,–
Body of CC,57.12,–,11.17,70.68,31.19,–,13.59,–,–,1.21
Splenium of CC,9.73,–,33.36,58.75,1.45,–,–,–,–,–
Fornix,93.33,–,73.93,93.74,70.91,–,45.99,–,–,–
Left SCP,–,–,–,10.60,–,–,–,–,–,–
CP,–,–,25.01,59.53,–,–,–,–,–,–
Anterior LIC,–,–,30.96,–,–,29.10,–,2.63,12.43,–
Right posterior LIC,–,5.83,39.59,–,–,39.77,–,30.58,38.67,–
Left posterior LIC,–,–,23.00,–,–,26.97,–,4.17,32.23,–
Retrolenticular part of IC,–,–,23.24,27.28,–,10.26,16.94,7.12,12.96,–
Right anterior CR,–,–,18.73,29.55,–,–,1.47,–,–,–
Left anterior CR,8.88,–,26.05,42.95,–,–,2.96,1.26,–,–
Right superior CR,–,1.22,28.58,–,–,17.71,–,6.93,18.13,–
Left superior CR,–,–,20.72,–,–,9.08,–,–,–,–
Right posterior CR,5.30,–,29.71,16.34,–,7.08,–,3.69,11.16,–
Left Posterior CR,–,–,14.94,–,–,–,–,2.98,–,–
Sagittal stratum,–,–,50.70,82.00,–,–,8.15,–,16.92 (only R),–
External capsule,–,–,22.84,33.57,–,8.23,–,–,–,–
Right CGC,–,–,30.58,62.75,–,–,–,–,–,–
Left CGC,8.11,–,13.79,61.95,–,–,2.74,–,–,–
Cingulum (hippocampus),–,–,85.22,86.79,–,–,–,–,–,–
SFOF,–,–,87.14,–,–,61.03,–,10.94,40.13,–
