Unnamed: 0,%,FW (HC),FW (AD)
JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas
ATR,31.39,0.36 (0.03),0.42 (0.04)
CST,12.98,0.30 (0.02),0.35 (0.02)
CGC,56.34,0.28 (0.03),0.33 (0.04)
CGH,85.16,0.33 (0.03),0.41 (0.06)
Forceps major,40.10,0.33 (0.03),0.38 (0.05)
Forceps minor,39.19,0.34 (0.04),0.40 (0.04)
IFOF,39.92,0.28 (0.03),0.32 (0.04)
ILF,52.05,0.27 (0.03),0.32 (0.05)
SLF,30.08,0.28 (0.03),0.33 (0.04)
UF,47.81,0.28 (0.03),0.34 (0.04)
ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas
Genu of CC,67.27,0.39 (0.03),0.45 (0.04)
Body of CC,47.89,0.37 (0.04),0.43 (0.03)
Splenium of CC,52.17,0.30 (0.04),0.36 (0.04)
Fornix,95.62,0.72 (0.06),0.81 (0.05)
CP,41.40,0.33 (0.03),0.38 (0.03)
Left anterior LIC,10.09,0.25 (0.03),0.30 (0.04)
Right retrolenticular part of IC,21.22,0.28 (0.03),0.32 (0.03)
Anterior CR,29.23,0.25 (0.04),0.30 (0.04)
Right posterior CR,19.87,0.26 (0.03),0.31 (0.04)
SS,65.31,0.29 (0.02),0.34 (0.04)
EC,30.24,0.26 (0.03),0.31 (0.04)
CGH,90.64,0.34 (0.03),0.41 (0.06)
