Unnamed: 0_level_0,Standard MA,Standard MA,FW-MA,FW-MA
Unnamed: 0_level_1,HC < AD,HC > AD,HC < AD,HC > AD
Unnamed: 0_level_2,%,%,%,%
JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas,JHU WM tract. atlas
Left ATR,–,0.87,–,0.50
Right CST,0.52,–,0.76,–
Forceps major,–,0.42,–,–
Forceps minor,–,1.73,–,0.87
IFOF,–,1.12,–,0.60
Left UF,–,0.51,–,–
Right UF,–,3.31,–,1.97
ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas,ICBM-DTI-81 WM atlas
Genu of CC,–,10.07,–,6.76
Left anterior LIC,–,4.24,–,2.61
Right posterior LIC,1.61,–,2.81,–
Right anterior CR,–,1.29,–,–
Left anterior CR,–,1.70,–,0.68
Right superior CR,2.34,–,2.87,–
EC,–,10.40,–,6.26
