Phenotypes,CN,SMC,EMCI,LMCI,AD
Clinical,,,,,
ADAS13 (N=254),57.0,31.0,72.0,25.0,69.0
MMSE (N=255),57.0,31.0,73.0,25.0,69.0
MOCA (N=248),57.0,31.0,71.0,25.0,64.0
RAVLT_immediate (N=251),56.0,31.0,73.0,25.0,66.0
RAVLT_learning (N=251),56.0,31.0,73.0,25.0,66.0
RAVLT_forgetting (N=250),56.0,31.0,73.0,25.0,65.0
FAQ (N=251),56.0,31.0,69.0,25.0,70.0
EcogPtTotal (N=249),57.0,31.0,72.0,25.0,64.0
EcogSPTotal (N=246),56.0,30.0,65.0,25.0,70.0
CDRSB (251),56.0,30.0,70.0,25.0,70.0
AD-pathology related,,,,,
CSF_ABETA (N=50),12.0,12.0,6.0,4.0,16.0
CSF_TAU (N=62),14.0,17.0,10.0,5.0,16.0
CSF_PTAU (N=62),14.0,17.0,10.0,5.0,16.0
[18F]Florbetapir PET (AV45) (N=134),36.0,25.0,30.0,12.0,31.0
FDG_PET (N=44),13.0,4.0,10.0,3.0,14.0
