Region,DTI Feature,Coexpression Module,Enriched Pathways,Corrected p-value
Superior occipital gyrus right,FA,M30,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",1.34 × 10−2
Supramarginal gyrus left,PLA,M30,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",1.62 × 10−2
Supramarginal gyrus right,PLA,M30,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",2.16 × 10−2
Supramarginal gyrus left,LIN,M30,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",2.70 × 10−2
Postcentral gyrus right,PLA,M30,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",2.97 × 10−2
Supramarginal gyrus right,MD,M30,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",3.24 × 10−2
Supramarginal gyrus right,RD,M30,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",3.38 × 10−2
Corticospinal tract left,ODI,M18,"Sensory perception, nervous system process and G-protein coupled receptor signaling pathway",3.92 × 10−2
Inferior fronto occipital fasciculus right,ODI,M145,"Cell-cell adhesion, IRE1-mediated unfolded protein response, RNA interference and posttranscriptional regulation of gene expression",4.32 × 10−2
Supramarginal gyrus right,L1,M30,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",4.32 × 10−2
Fusiform WM left,MD,M26,"immune response, response to cytokine, cytokine-mediated signaling pathway, innate immune response, regulation of immune system process",4.46 × 10−2
Medulla right,MOD,M23,"cell surface receptor signaling pathway, neurotrophin TRK receptor signaling pathway, B cell activation, cell differentiation, regulation of response to stimulus and cellular developmental process",8.51 × 10−3
